Alameda County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"11,338","11,193","11,592","11,037","10,580","9,891","9,562","9,246","8,911","9,211",8462.759715,8417.155504,8453.868462,7337.355982,7208.931935,7163.327724
Violent Offenses,"3,452","3,513","3,965","4,132","3,853","3,554","3,570","3,485","3,420","3,603",3235.457032,3119.155705,2999.569113,3270.523601,3157.633357,3041.33203
Property Offenses,"2,961","2,948","3,277","3,051","3,072","3,100","2,564","2,537","2,993","2,787",2799.105881,2800.701256,2803.186308,2639.192097,2639.837393,2641.432768
Drug Offenses,"1,946","1,762","1,279","1,062",840,641,511,559,374,411,4.040607906,0,0,0,0,0
Sex Offenses,134,146,169,173,160,122,130,108,130,117,91.28829195,80.28258525,68.98191387,84.88887126,74.18674868,63.18104199
Other Offenses,"2,845","2,824","2,902","2,619","2,655","2,474","2,787","2,557","1,994","2,293",2126.904273,2171.614514,2266.182032,1845.81259,1840.417682,1885.127923
Misdemeanor,"31,452","30,735","28,917","28,305","26,790","18,069","17,251","16,761","14,967","15,709",8022.544072,5077.637974,1910.291103,2137.885203,0,0
Status Offenses,149,149,133,82,74,46,19,5,10,34,0,0,0,0,0,0
Total Felonies per 1000 population,6.900358651,6.737827305,6.933225834,6.568110298,6.283111791,5.885349045,5.816811205,5.652649978,5.439699367,5.585606345,5.110352753,5.067035323,5.068688991,4.47903958,4.390486602,4.347169172
Violent Offenses per 1000 population,2.100902987,2.114713421,2.371483819,2.458950055,2.288169162,2.114703317,2.171723071,2.130595411,2.0877311,2.184881084,1.952076023,1.875136096,1.794351334,1.99094112,1.91793854,1.840998612
Property Offenses per 1000 population,1.802078141,1.774601527,1.959988014,1.815647777,1.824359114,1.844563951,1.559747326,1.55102455,1.827069937,1.690053728,1.693831685,1.691278099,1.68807756,1.611747779,1.609814547,1.60726096
Drug Offenses per 1000 population,1.184344499,1.060667534,0.7649754867,0.6319953916,0.4988481951,0.3814082234,0.3108544787,0.3417511721,0.2283074361,0.2492328963,0.002426113179,0,0,0,0,0
Sex Offenses per 1000 population,0.08155301281,0.08788732123,0.1010796382,0.1029521683,0.09501870384,0.07259251678,0.07908235271,0.06602706009,0.07935819972,0.07094951063,0.05531408674,0.04862051139,0.04172242942,0.05192292461,0.04543930769,0.03874573234
Other Offenses per 1000 population,1.731480011,1.699957501,1.735698876,1.558564906,1.576716617,1.472081037,1.695403977,1.563251784,1.217232694,1.390489127,1.270471992,1.28374906,1.323634744,1.119917695,1.106462958,1.119740026
Misdemeanors per 1000 population,19.14183104,18.50148505,17.29538401,16.84428395,15.90969422,10.75142775,10.4942282,10.24703291,9.136570578,9.526033013,4.798941004,2.965136563,0.9803421942,1.346015113,0,0
Status Offenses per 1000 population,0.0906820814,0.08969322509,0.07954788095,0.04879813758,0.04394615053,0.02737094895,0.01155819001,0.003056808338,0.006104476901,0.02061780651,0,0,0,0,0,0
