Alpine County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),15,13,10,11,23,15,14,7,7,5,7.370203081,6.741166301,6.069970382,4.367978005,3.780826153,3.151789374
Violent Offenses,6,5,3,5,11,9,5,4,4,4,7.213948316,7.788752259,8.333773551,5.98488093,6.588621649,7.163425592
Property Offenses,4,1,0,2,5,2,1,1,2,0,1.465735645,1.485390467,1.477187818,0.6558480531,0.7031554273,0.7228102497
Drug Offenses,1,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0
Sex Offenses,0,0,0,0,1,0,0,0,0,0,0.1306766088,0.1411918721,0.1494386191,0.0911382506,0.1039052398,0.114420503
Other Offenses,4,7,5,3,3,4,7,2,1,1,0,0,0,0,0,0
Misdemeanor,28,47,44,41,51,28,24,27,12,17,9.969714577,6.237735306,2.507463042,1.620827026,0,0
Status Offenses,0,0,0,0,2,0,1,0,0,0,0.04500044864,0,0,0.1684296294,0.08021601582,0
Total Felonies per 1000 population,13.29787234,11.71171171,8.453085376,9.507346586,19.19866444,12.72264631,11.63757273,5.988023952,6.21669627,4.549590537,6.626232132,6.189481484,5.712875647,3.82237205,3.425084945,2.988334296
Violent Offenses per 1000 population,5.319148936,4.504504505,2.535925613,4.321521175,9.18196995,7.633587786,4.156275977,3.421727973,3.552397869,3.639672429,6.356622909,6.89287215,7.400841414,5.233910423,5.797659603,6.333908845
Property Offenses per 1000 population,3.546099291,0.9009009009,0,1.72860847,4.173622705,1.696352841,0.8312551953,0.8554319932,1.776198934,0,1.252493797,1.272515548,1.268939362,0.530204921,0.5736367476,0.5936584983
Drug Offenses per 1000 population,0.8865248227,0,1.690617075,0.8643042351,2.504173623,0,0.8312551953,0,0,0,0,0,0,0,0,0
Sex Offenses per 1000 population,0,0,0,0,0.8347245409,0,0,0,0,0,0.1090789723,0.1178563206,0.1247400827,0.07607533439,0.08673225357,0.09550960187
Other Offenses per 1000 population,3.546099291,6.306306306,4.226542688,2.592912705,2.504173623,3.392705683,5.818786367,1.710863986,0.8880994671,0.9099181074,0.03496059626,0,0,0,0,0
Misdemeanors per 1000 population,24.82269504,42.34234234,37.19357566,35.43647364,42.57095159,23.74893978,19.95012469,23.09666382,10.65719361,15.46860783,9.662000522,6.845406975,4.033351682,1.808765383,0,0
Status Offenses per 1000 population,0,0,0,0,1.669449082,0,0.8312551953,0,0,0,0.03829945239,0,0,0.1406272326,0.06738331871,0
