Amador County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),371,371,353,288,303,254,275,257,255,277,235.8628951,235.3896437,237.4226603,184.6088661,181.6070771,181.1338257
Violent Offenses,87,82,78,72,93,88,80,70,62,80,81.86041958,85.34687809,89.36932905,73.14707267,76.09017808,79.57663659
Property Offenses,57,61,59,40,44,28,33,22,26,40,22.29489439,21.08233722,20.19284558,8.613040047,7.073450583,5.860893407
Drug Offenses,56,63,62,31,33,29,31,30,41,47,34.16946737,34.62265839,35.28453313,24.00491372,24.24528864,24.69847967
Sex Offenses,4,2,3,3,0,0,4,5,4,2,0.4192924386,0,0,1.519849698,0.7366854664,0
Other Offenses,167,163,151,142,133,109,127,130,122,108,80.52969042,66.03363698,49.97953188,69.68230615,56.75778806,42.26173462
Misdemeanor,682,650,641,701,764,632,648,428,472,574,503.260186,492.8342176,483.9404401,428.330488,416.3538396,405.9278713
Status Offenses,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,9.956256877,9.837978309,9.084124656,7.254042618,7.558183043,6.258624088,6.667474845,6.194860917,6.100770372,6.591157855,5.345644608,5.253441514,5.219247462,3.688339827,3.537540087,3.445336993
Violent Offenses per 1000 population,2.334755656,2.174431863,2.007257006,1.813510654,2.31983836,2.168342204,1.939629046,1.687316203,1.483324561,1.903583496,1.908725279,1.981148967,2.067472421,1.595791266,1.654113781,1.72653747
Property Offenses per 1000 population,1.529667499,1.617565167,1.518309787,1.007505919,1.097557934,0.6899270649,0.8000969815,0.5302993781,0.622039332,0.951791748,0.4896798902,0.4519386039,0.4226539653,0.09162100372,0.04531246064,0.007571174345
Drug Offenses per 1000 population,1.502831227,1.67060009,1.595511979,0.7808170873,0.8231684502,0.7145673172,0.7516062553,0.7231355156,0.9809081774,1.118355304,0.7717180591,0.7729192399,0.7796298062,0.4580737415,0.4536524506,0.4548536315
Sex Offenses per 1000 population,0.1073450876,0.0530349235,0.07720219254,0.07556294393,0,0,0.0969814523,0.1205225859,0.09569835877,0.0475895874,0.005652163828,0,0,0.0290799463,0.009158673635,0
Other Offenses per 1000 population,4.481657408,4.322346265,3.885843691,3.576646013,3.317618299,2.685787502,3.07916111,3.133587234,2.918799943,2.56983772,1.824575578,1.461550422,1.065201292,1.360991959,1.031555065,0.6685299088
Misdemeanors per 1000 population,18.30233744,17.23635014,16.49553514,17.65654123,19.05759685,15.57263946,15.71099527,10.31673336,11.29240634,13.65821158,11.52730466,11.14081536,10.79304272,8.92732939,8.501549735,8.115060434
Status Offenses per 1000 population,0,0.07955238525,0.02573406418,0.02518764798,0,0,0,0,0,0,0,0,0,0,0,0
