Butte County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"2,270","2,127","2,020","2,239","2,141","2,134","2,164","1,734","1,815","1,814",1754.191076,1722.833344,1695.832229,1597.222188,1561.4736,1530.115868
Violent Offenses,601,631,665,785,695,755,744,662,710,824,842.6555966,882.3646995,927.6412176,868.3169915,902.4166217,942.1257247
Property Offenses,461,513,549,437,445,350,356,263,379,349,276.0919733,263.7976263,254.2742306,201.2352552,186.1503932,173.8560462
Drug Offenses,688,423,224,229,268,342,314,182,133,118,107.241233,91.09364557,73.85109667,0,0,0
Sex Offenses,40,31,42,47,53,48,64,32,30,37,29.72590436,26.45172376,23.37931208,32.73937939,29.26679622,25.99261562
Other Offenses,480,529,540,741,680,639,686,595,563,486,501.4412302,464.263943,424.5483993,548.4179035,513.8331374,476.6558501
Misdemeanor,"8,474","9,295","8,677","8,853","7,914","6,018","5,941","5,442","6,010","5,945",4454.817108,3990.280452,3507.335964,3136.704408,2690.632397,2226.095741
Status Offenses,1,0,3,1,0,0,0,2,2,1,0,0,0,0.4907660241,0.1098876384,0
Total Felonies per 1000 population,10.17034203,9.474303124,8.910297128,9.81763491,9.903738071,10.15117352,10.48698577,8.361300775,8.753146792,8.707172137,8.911485059,8.920693385,8.959222213,8.476698363,8.456350271,8.465558597
Violent Offenses per 1000 population,2.692676458,2.810665384,2.933340391,3.442091739,3.214898627,3.591441429,3.605507121,3.192145971,3.42409599,3.955187343,4.266530771,4.554534009,4.882700374,4.447780656,4.695314427,4.983317665
Property Offenses per 1000 population,2.065430694,2.285057594,2.421659962,1.916170815,2.058460272,1.664906623,1.725215773,1.268178837,1.827792085,1.675194639,1.440263544,1.415364507,1.404151154,1.151934062,1.113244617,1.088345581
Drug Offenses per 1000 population,3.082464897,1.884170297,0.9880725528,1.004126125,1.239701916,1.626851614,1.521679081,0.8775990433,0.6414151644,0.5663981875,0.5733698667,0.5116146046,0.4459620198,0,0,0
Sex Offenses per 1000 population,0.1792130754,0.1380834024,0.1852636036,0.2060870213,0.2451649312,0.2283300511,0.3101511502,0.1543031285,0.1446801123,0.1775994317,0.1523316223,0.1395930001,0.1278668341,0.1723834093,0.1586473728,0.1459087505
Other Offenses per 1000 population,2.150556905,2.356326447,2.381960618,3.249159209,3.145512325,3.039643805,3.324432641,2.869073795,2.71516344,2.332792535,2.54517421,2.41410828,2.273382339,2.84537442,2.724201866,2.593135936
Misdemeanors per 1000 population,37.96629002,41.4027492,38.2745783,38.81890213,36.60821256,28.62688016,28.79074974,26.24117579,28.98424916,28.53590869,23.26120697,21.57265394,19.79508488,18.264351,16.66498976,14.97643673
Status Offenses per 1000 population,0.004480326885,0,0.01323311455,0.004384830241,0,0,0,0.009643945531,0.009645340818,0.00479998464,0.000335134093,0,0,0.003111414097,0.001507753732,0
