Calaveras County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),389,439,452,320,349,359,334,279,309,299,305.0971522,325.6027372,354.5825419,231.345336,243.3136962,263.8192812
Violent Offenses,161,166,192,147,134,132,133,140,143,147,125.0334406,124.3833875,125.1678697,113.1279256,111.0365739,110.3865208
Property Offenses,54,53,41,42,32,54,30,32,31,25,32.24430135,33.37805544,34.67392316,19.32275606,20.28896812,21.4227222
Drug Offenses,37,94,56,29,64,49,46,8,26,14,24.28432645,25.17225103,26.47624323,1.795427325,2.258451186,3.14637576
Sex Offenses,11,10,17,6,10,6,7,4,6,4,0,0,0,0,0,0
Other Offenses,126,116,146,96,109,118,118,95,103,109,101.1168878,104.8092714,110.646932,89.58298059,91.11759751,94.80998107
Misdemeanor,"1,076","1,067","1,053",897,749,670,812,632,643,713,505.132555,484.372302,475.2909571,329.0459353,296.5419813,275.7817284
Status Offenses,2,1,1,0,2,5,0,1,0,1,2.897431346,3.48851786,4.08275329,1.915220665,2.502303521,3.093390035
Total Felonies per 1000 population,8.753375338,9.826744863,10.06166106,7.12520318,7.724485956,7.916207277,7.21974839,5.994327948,6.63374839,6.429416192,6.506037994,6.945489088,7.57477024,4.716413483,4.964599509,5.404050603
Violent Offenses per 1000 population,3.622862286,3.715807852,4.273979921,3.273140211,2.965848476,2.910694598,2.874929748,3.007906497,3.069987119,3.160950435,2.623895758,2.583174615,2.570526433,2.304497652,2.235569824,2.194848681
Property Offenses per 1000 population,1.215121512,1.186372387,0.9126727957,0.9351829173,0.7082623227,1.190738699,0.6484803943,0.687521485,0.6655216831,0.5375766047,0.6884553877,0.7124523014,0.7404130143,0.3842288425,0.4041363757,0.4281332894
Drug Offenses per 1000 population,0.8325832583,2.104132157,1.246577477,0.6457215382,1.416524645,1.080485116,0.9943366046,0.1718803713,0.5581794762,0.3010428986,0.5282456537,0.5516968502,0.585085184,0.01278184363,0.02608952343,0.04954071995
Sex Offenses per 1000 population,0.2475247525,0.2238438465,0.3784253055,0.1335975596,0.2213319758,0.1323042999,0.151312092,0.08594018563,0.1288106483,0.08601225675,0,0,0,0,0,0
Other Offenses per 1000 population,2.835283528,2.59658862,3.250005565,2.137560954,2.412518537,2.601984564,2.550689551,2.041079409,2.211249463,2.343833996,2.14446651,2.215985405,2.334598676,1.840753562,1.864897104,1.936415999
Misdemeanors per 1000 population,24.21242124,23.88413843,23.44010863,19.97283516,16.57776499,14.77398015,17.55220267,13.57854933,13.80420781,15.33168477,10.61075711,10.11371336,9.878647353,6.337910609,5.577365686,5.080321937
Status Offenses per 1000 population,0.04500450045,0.02238438465,0.02226031209,0,0.04426639517,0.1102535832,0,0.02148504641,0,0.02150306419,0.06326302647,0.07620215272,0.08920882121,0.0412238774,0.05407658729,0.06701571354
