Colusa County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),298,300,281,236,236,207,269,250,98,98,37.99122424,1.573474102,0,0,0,0
Violent Offenses,61,76,75,66,59,53,48,42,36,33,25.07280839,22.22488156,20.13362476,10.47874321,6.870446806,4.022519978
Property Offenses,50,44,44,36,30,35,47,48,35,31,24.78143708,21.26804676,17.82258192,24.42707984,20.84867131,17.335281
Drug Offenses,18,22,15,5,11,10,15,16,5,2,1.199641753,0,0,0,0,0
Sex Offenses,7,7,3,3,2,3,3,6,1,1,0.9172219397,0.5546089512,0.1814110173,0,0,0
Other Offenses,162,151,144,126,134,106,156,138,21,31,0,0,0,0,0,0
Misdemeanor,732,708,677,753,713,707,919,713,409,341,265.8601577,174.0620647,83.62159194,247.5469955,154.4660866,62.66799365
Status Offenses,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,13.95392396,13.85489309,12.91241614,10.91480899,10.85806303,9.465886226,12.26574256,11.38848397,4.435794143,4.439612213,1.597425041,0,0,0,0,0
Violent Offenses per 1000 population,2.856340139,3.509906249,3.446374414,3.052446582,2.714515758,2.423632705,2.188682687,1.913265306,1.629475399,1.49497146,1.116214833,0.9820219249,0.8828575847,0.4203301493,0.2509335996,0.1167406918
Property Offenses per 1000 population,2.341262409,2.032050986,2.02187299,1.664970863,1.38026225,1.600512164,2.143085131,2.186588921,1.584212194,1.404367129,1.102640143,0.9354401818,0.7707705325,1.067079264,0.8974833499,0.7302833891
Drug Offenses per 1000 population,0.8428544671,1.016025493,0.6892748828,0.2312459532,0.5060961583,0.4572891897,0.6839633396,0.7288629738,0.2263160277,0.09060433089,0.04581297982,0,0,0,0,0
Sex Offenses per 1000 population,0.3277767372,0.3232808387,0.1378549766,0.1387475719,0.09201748332,0.1371867569,0.1367926679,0.2733236152,0.04526320554,0.04530216544,0.03978193216,0.02281322286,0.005326525789,0,0,0
Other Offenses per 1000 population,7.585690204,6.97362952,6.617038875,5.827398021,6.165171383,4.847265411,7.113218731,6.286443149,0.9505273163,1.404367129,0,0,0,0,0,0
Misdemeanors per 1000 population,34.27608166,32.69754768,31.10927304,34.82564055,32.8042328,32.33034571,41.90415394,32.47995627,18.51265107,15.44803842,11.73913226,7.4427175,3.198911292,10.62661968,6.28104559,1.984630826
Status Offenses per 1000 population,0.09365049635,0,0.04595165885,0,0,0,0,0,0,0,0,0,0,0,0,0
