Contra Costa County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"9,098","8,748","8,682","8,785","9,204","7,182","7,084","7,693","6,134","5,703",4117.820664,2992.991771,1719.305988,3638.113927,2663.381391,1538.552498
Violent Offenses,"2,586","2,517","2,582","2,614","2,722","2,268","1,866","2,208","1,936","1,820",1512.958042,1274.099559,997.9338432,1337.817738,1136.520096,897.661612
Property Offenses,"2,921","2,794","3,026","2,740","2,816","2,249","1,966","2,073","1,788","1,667",1131.464161,843.6081748,533.0999706,771.8563666,506.8574545,219.001468
Drug Offenses,"1,217","1,052",842,796,803,603,787,726,571,546,346.7749816,254.7662903,155.9954581,186.0680081,100.870896,8.862204723
Sex Offenses,175,155,149,146,174,119,104,109,87,82,54.59369825,36.70732874,16.69893357,29.2224017,13.47148193,0
Other Offenses,"2,199","2,230","2,083","2,489","2,689","1,943","2,361","2,577","1,752","1,588",1383.434757,1125.611255,845.4573635,1452.267122,1217.084152,959.2606495
Misdemeanor,"17,939","17,010","16,326","16,223","15,361","9,410","9,704","10,604","10,587","11,526",7113.986251,5810.325293,4379.531747,4488.828975,3312.973779,2009.312822
Status Offenses,13,7,2,2,2,0,1,0,0,1,0,0,0,0,0,0
Total Felonies per 1000 population,8.046286044,7.639694272,7.518933735,7.565768793,7.904208278,6.158648219,6.086888529,6.630204706,5.278016553,4.86352205,3.345376375,2.278459371,1.06223318,2.926993651,2.010592687,0.9436756822
Violent Offenses per 1000 population,2.287062619,2.198115053,2.236107683,2.251214528,2.33759832,1.94483628,1.603350366,1.902962692,1.66583633,1.552097165,1.25446079,1.027291983,0.7636099198,1.097380633,0.9069718048,0.6798029977
Property Offenses per 1000 population,2.583337166,2.440021239,2.620628137,2.359727546,2.418323611,1.928543559,1.689274823,1.786613071,1.538489338,1.421618667,0.9258978419,0.6586734218,0.3683135549,0.6046586175,0.3607686892,0.09354426901
Drug Offenses per 1000 population,1.076316786,0.9187195216,0.7292032026,0.6855266886,0.6896000921,0.517079487,0.6762254761,0.625702407,0.491318463,0.4656291494,0.288191304,0.2068435787,0.1194687186,0.1410287454,0.06575042596,0
Sex Offenses per 1000 population,0.1547702855,0.1353626672,0.1290395216,0.1257373072,0.1494276663,0.1020438789,0.08936143521,0.09394154595,0.07485938053,0.06992965248,0.04440777457,0.02781677866,0.009148365114,0.02209180498,0.007591314433,0
Other Offenses per 1000 population,1.944799188,1.947475792,1.803955191,2.143562724,2.30925859,1.666145014,2.028676428,2.22098499,1.507513042,1.354247416,1.165577379,0.9368640222,0.6880339054,1.210211488,1.001885707,0.7731723503
Misdemeanors per 1000 population,15.86528087,14.85496109,14.138921,13.97148175,13.19171484,8.069184035,8.338109301,9.139047278,9.109612203,9.829380176,5.934375659,4.774769292,3.503067292,3.525337974,2.478400927,1.31879456
Status Offenses per 1000 population,0.01149722121,0.00611315271,0.001732074115,0.001722428866,0.001717559382,0,0.0008592445694,0,0,0.0008528006399,0,0,0,0,0,0
