El Dorado County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,419","1,327","1,383","1,317","1,350","1,458","1,509","1,033","1,168","1,126",1141.328498,1153.531062,1180.660208,1029.16944,1026.36011,1038.562673
Violent Offenses,461,436,517,480,524,557,534,445,458,447,469.5774928,474.7627231,484.0442342,466.3470579,467.4192204,472.6044507
Property Offenses,256,276,291,253,246,243,256,153,209,191,176.0395751,176.3612982,180.4175347,137.781372,134.3468389,134.668562
Drug Offenses,233,137,117,102,95,217,243,112,106,78,89.40979988,80.21243846,71.45795901,73.0426144,63.40444609,54.20708467
Sex Offenses,25,26,30,23,27,28,21,17,22,23,23.39195211,24.43551433,25.72424088,19.68757859,20.48322424,21.52678646
Other Offenses,444,452,428,459,458,413,455,306,373,387,362.6926767,362.1477534,364.0894028,323.7050811,320.6550756,320.1101523
Misdemeanor,"3,711","3,774","3,772","3,508","3,083","3,144","3,160","2,707","3,005","2,976",2905.484351,3053.551149,3267.309612,2379.52887,2461.440738,2609.507536
Status Offenses,0,0,1,0,0,0,5,4,2,2,1.153298953,0.7244380913,0.3128959332,3.206902666,2.761705722,2.33284486
Total Felonies per 1000 population,7.727285104,7.178948963,7.379030322,6.95478597,7.056646577,7.623529412,7.789432388,5.350363338,6.069424236,5.839552336,5.872255221,5.939584219,6.088652528,5.122720626,5.107801041,5.175130039
Violent Offenses per 1000 population,2.510414681,2.358720232,2.758466143,2.53477393,2.739024301,2.912418301,2.756498937,2.304851583,2.379962586,2.318188183,2.418869137,2.447903205,2.500175409,2.345567429,2.351251731,2.380285799
Property Offenses per 1000 population,1.394069758,1.493134826,1.552637617,1.336037092,1.285877821,1.270588235,1.321467655,0.7924545892,1.086052796,0.9905457337,0.903970392,0.9074428511,0.9316004046,0.6726381345,0.6552976007,0.6587700598
Drug Offenses per 1000 population,1.268821303,0.7411575041,0.6242563613,0.5386394601,0.4965788332,1.134640523,1.254361876,0.5800974771,0.5508210351,0.4045160588,0.4595461167,0.4113756295,0.3653914127,0.3556081853,0.3052569908,0.2570865036
Sex Offenses per 1000 population,0.1361396248,0.1406576285,0.1600657337,0.1214579175,0.1411329315,0.1464052288,0.1084016436,0.08805050992,0.1143213469,0.1192803763,0.1202414516,0.1257016667,0.1325327284,0.09791169059,0.1019855267,0.1074457418
Other Offenses per 1000 population,2.417839736,2.445278773,2.283604467,2.42387757,2.394032691,2.159477124,2.348702277,1.584909178,1.938266473,2.007021984,1.865016318,1.863323161,1.875909542,1.608296997,1.592206791,1.590513634
Misdemeanors per 1000 population,20.20856591,20.41699577,20.12559825,18.5249728,16.11528992,16.43921569,16.31186637,14.02074884,15.6152567,15.43384347,14.72023915,15.35790357,16.31541522,11.63835764,11.95383266,12.59149708
Status Offenses per 1000 population,0,0,0.005335524455,0,0,0,0.02580991514,0.02071776704,0.01039284972,0.01037220664,0.005936184457,0.003705638938,0.001565243952,0.01656512661,0.01424952504,0.01201897952
