Inyo County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),176,199,226,249,233,215,267,193,185,167,150.5267485,136.1628022,122.9434145,160.4354938,144.940236,130.5762897
Violent Offenses,79,114,114,107,89,93,98,81,91,88,84.45619297,85.51785151,87.79896543,78.32946337,78.16580256,79.22746111
Property Offenses,19,28,35,28,30,27,50,29,14,25,14.36670761,11.12085981,8.343981266,18.27911954,14.56732888,11.32148108
Drug Offenses,22,11,8,13,7,7,8,2,10,3,0.8770158856,0,0,0,0,0
Sex Offenses,2,3,3,0,3,0,1,1,2,2,1.378153854,1.382790686,1.386888124,0.9493453291,0.9543829595,0.9590197911
Other Offenses,54,43,66,101,104,88,110,80,68,49,50.35806607,40.32995783,30.06471943,66.5198171,56.74348922,46.71538099
Misdemeanor,472,431,568,653,542,471,412,362,538,320,284.1526181,230.0455026,171.9190469,277.6550234,227.6237683,173.5166528
Status Offenses,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,9.461856889,10.75850138,12.2063192,13.32619748,12.34044807,11.31638507,14.11205074,10.29607895,9.974121199,9.034352177,8.085727094,7.345101001,6.670953461,8.576769158,7.770323705,7.029697612
Violent Offenses per 1000 population,4.24708349,6.163161594,6.157169862,5.726518598,4.713733383,4.894994473,5.179704017,4.321152307,4.906189347,4.760616716,4.512107641,4.563670908,4.678129066,4.177740447,4.166103355,4.217666621
Property Offenses per 1000 population,1.02145046,1.513758988,1.890359168,1.498528231,1.588898893,1.421127428,2.642706131,1.547079221,0.754798361,1.352447931,0.7868534831,0.6180242968,0.4742049624,0.9938359464,0.8001538832,0.6313246969
Drug Offenses per 1000 population,1.182732111,0.594691031,0.4320820956,0.6957452502,0.370743075,0.3684404442,0.422832981,0.1066951187,0.5391416864,0.1622937517,0.04521714177,0,0,0,0,0
Sex Offenses per 1000 population,0.107521101,0.162188463,0.1620307858,0,0.1588898893,0,0.05285412262,0.05334755935,0.1078283373,0.1081958345,0.07445942563,0.07488886997,0.07529746653,0.05114394404,0.05158651791,0.05201596226
Other Offenses per 1000 population,2.903069727,2.324701303,3.564677289,5.405405405,5.508182829,4.631822728,5.813953488,4.267804748,3.666163468,2.650797944,2.671425412,2.132690195,1.58202733,3.535004144,3.008980508,2.470245291
Misdemeanors per 1000 population,25.37497984,23.30107585,30.67782879,34.94781911,28.70610667,24.79077846,21.77589852,19.31181648,29.00582273,17.31133351,15.1474403,12.25103684,9.143672195,14.74083716,12.05839286,9.161989399
Status Offenses per 1000 population,0,0,0.05401026195,0,0.1059265929,0,0,0.05334755935,0,0,0,0,0,0,0,0
