Kings County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,968","1,736","1,711","1,785","1,664","1,693","1,768","1,342","1,205","1,174",1028.14006,947.9951227,876.7808421,813.3000138,724.2077479,644.0628108
Violent Offenses,632,529,561,603,591,567,558,498,472,498,432.7190632,400.0139803,363.5278915,411.8955198,383.003113,350.29803
Property Offenses,367,318,302,307,253,273,274,253,166,200,150.0229426,133.9759868,119.5846996,98.3016611,80.59414816,64.54719237
Drug Offenses,180,130,113,86,103,119,83,51,29,38,25.50344359,20.23084728,15.62985815,0,0,0
Sex Offenses,40,58,44,42,63,43,61,41,43,34,38.02547679,36.29880633,34.65756198,36.67073179,34.85949986,33.1328294
Other Offenses,749,701,691,747,654,691,792,499,495,404,345.2045884,293.8334896,246.0227373,274.8313523,219.9157944,168.5446956
Misdemeanor,"5,949","5,574","4,719","5,545","5,737","4,804","5,274","4,363","3,758","3,423",2968.98603,2513.015275,2017.624647,2448.961591,2032.756386,1576.785631
Status Offenses,189,148,108,88,85,48,26,34,16,18,0,0,0,0,0,0
Total Felonies per 1000 population,13.13795521,11.6453013,11.45907283,11.82416767,10.91598496,11.08006047,11.57643854,8.784102215,7.861378775,7.578447257,6.559653282,6.026326291,5.562710133,5.001718035,4.398505409,3.865178418
Violent Offenses per 1000 population,4.219099436,3.548596996,3.75718285,3.994382692,3.877011487,3.71080584,3.653649721,3.259674294,3.079311852,3.21470761,2.739132904,2.499009669,2.232550214,2.570543514,2.356981505,2.11685827
Property Offenses per 1000 population,2.450015021,2.133183071,2.022583281,2.033624356,1.659702041,1.786684294,1.794086064,1.65601927,1.082978321,1.291047233,0.9494857697,0.8409040488,0.744595445,0.5848888386,0.4639941594,0.3554124385
Drug Offenses per 1000 population,1.201642244,0.8720559726,0.7567944064,0.569679787,0.6756889731,0.7788111023,0.5434640266,0.3338220663,0.1891950079,0.2452989743,0.1562874517,0.1206217807,0.08980130762,0,0,0
Sex Offenses per 1000 population,0.2670316099,0.3890711262,0.2946810078,0.2782157099,0.4132854884,0.2814191378,0.3994133208,0.2683667592,0.2805305289,0.2194780296,0.2434724218,0.2310960862,0.2193245538,0.231113424,0.2181377472,0.2057614116
Other Offenses per 1000 population,5.000166895,4.702394129,4.627831282,4.948265126,4.290296975,4.522340098,5.185825411,3.266219825,3.229363065,2.607915411,2.185918886,1.840772371,1.522073744,1.668855662,1.297348457,0.9522019414
Misdemeanors per 1000 population,39.71427618,37.39107685,31.60453809,36.73109789,37.6352198,31.44040786,34.53288285,28.55815049,24.51706343,22.09627339,18.70496003,15.51655212,12.05634624,14.96994815,12.05571968,8.867311765
Status Offenses per 1000 population,1.261724357,0.9928021842,0.7233079283,0.5829281541,0.557607405,0.3141422934,0.1702417433,0.2225480442,0.1043834526,0.116194251,0,0,0,0,0,0
