Lake County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,005","1,067",935,"1,015",969,764,824,697,690,853,707.3006923,695.0196827,684.8373153,574.9309967,560.5158559,548.2348463
Violent Offenses,314,310,311,366,331,319,357,269,288,385,351.4191719,363.7420121,378.4758521,346.8026893,356.6955962,369.0184364
Property Offenses,139,159,163,159,143,160,152,140,107,143,136.1701251,141.1293144,148.4250551,122.8957519,125.5041877,130.4633769
Drug Offenses,232,321,156,183,138,72,62,67,50,62,25.93314093,18.60790795,11.11894949,0,0,0
Sex Offenses,26,17,30,19,20,12,16,16,18,9,0.2315798207,0,0,0,0,0
Other Offenses,294,260,275,288,337,201,237,205,227,254,195.5600011,179.0200839,160.4148219,180.3358741,165.8761317,149.3362145
Misdemeanor,"2,694","2,895","2,968","3,217","2,630","1,985","2,096","1,967","2,000","2,115",1441.912153,1234.386695,1019.015765,1151.434037,951.8728688,744.3474106
Status Offenses,0,1,0,0,0,1,0,0,1,2,2.67219875,3.266198848,3.87380294,2.500109885,3.079874199,3.673874297
Total Felonies per 1000 population,15.18677466,16.12099053,14.00329489,15.06024096,14.2859249,11.20234604,12.00763592,10.21410044,10.15691701,12.58780473,10.32504146,10.14089482,9.988844331,8.17340212,7.956574355,7.77242771
Violent Offenses per 1000 population,4.744922631,4.683699216,4.65778044,5.430589352,4.879918619,4.677419355,5.202337409,3.942027286,4.239408838,5.681482793,5.13514454,5.309545286,5.518343192,5.012550117,5.152267155,5.326667901
Property Offenses per 1000 population,2.100459381,2.402284437,2.441216115,2.359190456,2.108242787,2.346041056,2.215000801,2.051612714,1.575058145,2.110265037,2.004145073,2.087285366,2.207777,1.770214584,1.815766511,1.898906805
Drug Offenses per 1000 population,3.505802708,4.849894994,2.336378613,2.715294676,2.034528004,1.055718475,0.903487169,0.9818432275,0.7360084788,0.9149400862,0.3643566547,0.2600755814,0.1545589953,0,0,0
Sex Offenses per 1000 population,0.3928916828,0.2568480215,0.4493035795,0.2819158407,0.2948591311,0.1759530792,0.2331579791,0.2344700245,0.2649630524,0.1328138835,0,0,0,0,0,0
Other Offenses per 1000 population,4.442698259,3.928263858,4.118616145,4.273250638,4.968376358,2.947214076,3.453652565,3.004147189,3.341478494,3.748302934,2.834859984,2.579068351,2.29084128,2.563115437,2.339978688,2.084187055
Misdemeanors per 1000 population,40.70962282,43.73970719,44.45110079,47.73280313,38.77397573,29.10557185,30.54369526,28.82515863,29.44033915,31.21126262,20.93340028,17.85844474,14.6746924,16.10773216,13.14315378,10.06819823
Status Offenses per 1000 population,0,0.01510870715,0,0,0,0.0146627566,0,0,0.01472016958,0.02951419633,0.03942832421,0.04820223188,0.05717531386,0.03680264927,0.04536802916,0.05414193683
