Lassen County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),340,309,271,310,242,247,185,167,188,160,117.2269499,91.00129331,61.18711232,57.41695199,34.7941029,8.568446321
Violent Offenses,137,114,106,115,105,88,63,66,87,71,51.86072118,40.09696252,25.97842688,32.7972061,23.39854229,11.63478363
Property Offenses,54,73,66,57,46,52,26,35,29,22,20.19540832,18.04275518,16.17821027,2.111209873,0,0
Drug Offenses,55,41,26,41,14,37,19,6,14,9,7.039031155,5.662606449,4.26661527,0,0,0
Sex Offenses,10,5,6,6,9,2,9,6,3,4,0.1340313415,0,0,0.1245286065,0,0
Other Offenses,84,76,67,91,68,68,68,54,55,54,43.38125795,37.90374173,31.9595655,35.07066438,30.06338598,24.58586975
Misdemeanor,664,603,541,594,569,528,461,443,470,525,456.1762952,434.9931581,407.4865923,392.8948424,378.0492225,356.8660854
Status Offenses,12,2,7,4,9,3,4,0,0,1,0,0,0,0,0,0
Total Felonies per 1000 population,10.43296818,9.565971147,8.272283272,9.464781852,7.323790213,7.642563198,5.802283277,5.493240354,6.519176087,5.645730416,4.537456199,3.880888681,3.114934155,2.887141395,2.340314667,1.683747149
Violent Offenses per 1000 population,4.203872472,3.529193239,3.235653236,3.511128752,3.177677572,2.722856524,1.975912683,2.170981218,3.016852764,2.505292872,2.083347346,1.841519787,1.540419704,1.538326829,1.355960432,1.114132873
Property Offenses per 1000 population,1.657000829,2.259921986,2.014652015,1.740298599,1.392125412,1.608960673,0.8154560281,1.151277918,1.005617588,0.7762879323,0.7597706804,0.7131485625,0.6747187859,0.2353487598,0.1803961189,0.133774001
Drug Offenses per 1000 population,1.687686029,1.269271253,0.7936507937,1.251793729,0.4236903429,1.144837402,0.5959101744,0.1973619289,0.4854705597,0.3175723359,0.2769193777,0.2446228395,0.2117250417,0,0,0
Sex Offenses per 1000 population,0.3068520053,0.1547891771,0.1831501832,0.1831893262,0.2723723633,0.06188310282,0.2822732405,0.1973619289,0.1040294056,0.1411432604,0.02337279847,0,0,0.02871018378,0,0
Other Offenses per 1000 population,2.577556844,2.352795493,2.045177045,2.778371447,2.057924523,2.104025496,2.13273115,1.77625736,1.90720577,1.905434016,1.621650532,1.493880233,1.350423433,1.432028623,1.320040931,1.192270632
Misdemeanors per 1000 population,20.37497315,18.66757476,16.51404151,18.13574329,17.21998608,16.33713914,14.45866265,14.57188908,16.29794022,18.52505293,17.03125974,17.01951266,16.86279104,15.45974534,15.59281359,15.5810665
Status Offenses per 1000 population,0.3682224063,0.06191567086,0.2136752137,0.1221262174,0.2723723633,0.09282465423,0.1254547736,0,0,0.0352858151,0,0,0,0,0,0
