Los Angeles County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"75,433","75,131","75,501","73,463","73,113","66,621","66,340","63,783","65,529","61,278",53936.79708,49358.59043,44159.67397,51128.5225,47175.46663,42597.25998
Violent Offenses,"28,194","27,804","28,746","28,865","28,432","25,557","24,839","24,957","26,244","26,101",22946.80463,21405.05381,19567.79179,22644.4244,21400.15845,19858.40763
Property Offenses,"19,041","19,914","20,213","18,901","17,620","16,931","16,460","15,614","16,225","14,052",13240.20963,12762.73245,12379.64761,11374.17875,10801.91984,10324.44266
Drug Offenses,"9,753","8,970","7,302","6,412","6,945","5,154","4,634","4,036","4,474","3,717",2267.377762,1527.889506,695.7914827,230.9344507,0,0
Sex Offenses,"1,228","1,102","1,074","1,029",988,722,770,801,947,802,593.7050617,495.6063183,382.9199428,499.2010503,415.7832611,317.6845178
Other Offenses,"17,217","17,341","18,166","18,256","19,128","18,257","19,637","18,375","17,639","16,606",16480.64972,15939.49897,15381.54128,17073.31073,16549.64742,16008.49668
Misdemeanor,"188,185","177,676","171,897","172,389","174,093","126,084","109,392","103,942","99,183","99,149",61502.62905,44103.88511,24873.04587,30176.83892,14620.6629,0
Status Offenses,"1,277",863,614,347,201,117,43,53,23,12,0,0,0,0,0,0
Total Felonies per 1000 population,7.467948401,7.421800718,7.456878578,7.274512924,7.272572099,6.664343218,6.763011891,6.542888319,6.733466662,6.280298845,5.530959074,5.030862303,4.451406992,5.420259653,5.000084373,4.499987602
Violent Offenses per 1000 population,2.791236424,2.746612546,2.839107185,2.858293502,2.828139591,2.556560538,2.532204588,2.560100086,2.696715944,2.675055977,2.358579931,2.191905069,1.989584117,2.392806487,2.262019985,2.095345123
Property Offenses per 1000 population,1.885079547,1.967200483,1.996342919,1.871630192,1.752666699,1.693670089,1.678009884,1.601691018,1.66720836,1.440170361,1.367653934,1.317568049,1.274729085,1.216941549,1.159587716,1.109501831
Drug Offenses per 1000 population,0.9655575246,0.8860996452,0.721184188,0.6349342781,0.6908212387,0.5155735421,0.4724117742,0.4140146631,0.4597282096,0.3809502726,0.2424055009,0.1701557169,0.08858906268,0.0487764668,0,0
Sex Offenses per 1000 population,0.1215733251,0.1088608483,0.1060739274,0.1018944748,0.09827665715,0.0722243107,0.07849742472,0.08216693387,0.09730948021,0.08219588879,0.06267879712,0.0533353505,0.04254869476,0.05478089065,0.04688999868,0.03754655206
Other Offenses per 1000 population,1.704501579,1.713027196,1.794170359,1.807760477,1.902667913,1.826314738,2.00188822,1.884915618,1.812504669,1.701926346,1.697872444,1.642520617,1.583592109,1.795102985,1.7434128,1.688060972
Misdemeanors per 1000 population,18.63051807,17.55168791,16.97745801,17.07044374,17.31708307,12.61264542,11.15193544,10.66241628,10.19160103,10.16164611,6.473001401,4.727885934,2.78535112,3.600377516,2.053846641,0.3087311739
Status Offenses per 1000 population,0.126424378,0.08525128136,0.06064189146,0.03436091617,0.01999353045,0.01170393955,0.00438362242,0.005436763415,0.002363377027,0.001229863673,0,0,0,0,0,0
