Madera County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,193","1,338","1,280","1,428","1,359","1,288","1,585","1,287","1,317","1,279",1290.528941,1293.56468,1306.953189,1328.95878,1321.624355,1324.660094
Violent Offenses,408,429,498,562,500,482,441,401,476,479,455.5132643,449.6418707,443.1584092,463.8154655,458.5650568,452.6936631
Property Offenses,199,186,209,200,252,176,213,190,166,166,137.962511,120.5734552,101.9504212,141.439567,125.3039896,107.9149338
Drug Offenses,214,350,99,131,130,115,326,198,166,114,133.8103452,126.360998,119.3734507,114.4003337,106.4886674,99.03932019
Sex Offenses,19,36,33,33,29,32,27,27,23,19,21.39452172,20.53271826,19.80592618,19.25287329,18.25585078,17.39404732
Other Offenses,353,337,441,502,448,483,578,471,486,501,498.4807779,501.7815914,508.8807189,569.8274784,569.3393603,572.6401739
Misdemeanor,"2,485","3,040","3,949","4,317","4,233","3,415","3,280","3,312","3,765","3,237",3088.38388,2895.388634,2687.227185,3394.830267,3217.304852,3024.309606
Status Offenses,8,9,4,6,8,4,0,1,2,10,8.816651553,10.3498756,11.86902646,5.379481535,6.924338751,8.457562797
Total Felonies per 1000 population,7.810709773,8.753622809,8.306294614,9.197475203,8.741292476,8.233504225,9.967362391,8.022990512,8.059876868,7.731273272,7.680634729,7.611878646,7.606741803,7.70791166,7.575446059,7.506689977
Violent Offenses per 1000 population,2.67122346,2.806654847,3.231667748,3.619734639,3.21607523,3.081171612,2.773253511,2.499781815,2.91306104,2.89544949,2.712340837,2.64550186,2.575109646,2.692915531,2.629690699,2.562851723
Property Offenses per 1000 population,1.302876148,1.216871332,1.356262167,1.288161793,1.620901916,1.125075112,1.33946258,1.184435274,1.015899438,1.003433435,0.813168749,0.6934698985,0.566216749,0.8038823431,0.6918598677,0.5721610172
Drug Offenses per 1000 population,1.401082893,2.289811647,0.642439974,0.8437459745,0.8361795599,0.7351343058,2.050069489,1.234306233,1.015899438,0.689104889,0.8175654841,0.7683985252,0.7222113651,0.6565075433,0.6043474497,0.5551804908
Sex Offenses per 1000 population,0.1243952101,0.2355234837,0.214146658,0.2125466959,0.1865323634,0.2045591112,0.1697910313,0.1683144863,0.1407571511,0.1148508148,0.1271150401,0.1203864352,0.1145706162,0.1087253265,0.1010821673,0.09435356244
Other Offenses per 1000 population,2.311132062,2.2047615,2.861778066,3.233286101,2.881603406,3.087564085,3.63478578,2.936152705,2.974259801,3.028434644,2.9716753,2.952922553,2.955762887,3.365250344,3.32498844,3.306235692
Misdemeanors per 1000 population,16.26958406,19.88864973,25.62621674,27.8049723,27.2272929,21.83029265,20.62646602,20.64657698,23.04133364,19.56695198,18.41991214,17.01294137,15.51775921,19.86598439,18.54914685,17.14217608
Status Offenses per 1000 population,0.05237693058,0.05888087091,0.02595717067,0.03864485379,0.05145720369,0.0255698889,0,0.006233869862,0.01223975227,0.06044779728,0.05331072316,0.06252594668,0.07164211596,0.0305004433,0.03979942487,0.04901464839
