Marin County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,363","1,311","1,233","1,225","1,133","1,151",976,"1,190","1,182","1,190",1098.486779,1054.956447,996.4036913,1040.078286,1011.628143,968.0978109
Violent Offenses,521,487,471,524,445,428,368,452,507,438,400.6003071,368.8107545,328.6417606,394.353371,370.9901921,339.2006394
Property Offenses,354,407,333,323,311,278,207,284,242,271,250.357996,248.0537024,244.718641,188.2253298,186.9375079,184.6332143
Drug Offenses,179,125,104,95,74,117,95,118,84,79,74.65606041,70.28860325,65.49259899,52.10808344,48.16713762,43.79968046
Sex Offenses,29,21,35,31,34,22,9,28,20,30,22.1119793,21.3531829,20.4667701,19.95021725,19.31934247,18.56054607
Other Offenses,280,271,290,252,269,306,297,308,329,372,404.0657014,439.086339,478.8619906,409.1711031,439.3937467,474.4143843
Misdemeanor,"5,462","5,138","4,733","5,227","4,748","3,607","2,963","3,457","3,416","3,351",2307.251772,1800.766074,1209.475754,1617.033215,1195.805614,689.3199154
Status Offenses,51,108,47,56,35,13,0,0,17,18,10.75751976,12.06006934,13.44290483,0,0,0
Total Felonies per 1000 population,5.17721418,4.976181891,4.685629596,4.645465646,4.305872785,4.40420753,3.764647797,4.627775207,4.622496148,4.641185647,4.346222494,4.208886545,4.016759381,4.167002199,4.084657814,3.947321865
Violent Offenses per 1000 population,1.978964481,1.848513029,1.789887704,1.987121632,1.691185692,1.637707057,1.419457366,1.757776801,1.98274581,1.708268331,1.590509399,1.482331362,1.343694508,1.581597787,1.504046381,1.395868344
Property Offenses per 1000 population,1.344632296,1.544855858,1.265462008,1.224886044,1.181929776,1.063744303,0.7984447685,1.104443831,0.9463993805,1.056942278,0.9857528243,0.980287727,0.9706603229,0.761417789,0.7600617483,0.7545966509
Drug Offenses per 1000 population,0.6799129408,0.4744643298,0.3952193657,0.3602606011,0.2812308792,0.4476909478,0.3664360048,0.458888634,0.3285022643,0.3081123245,0.2949022422,0.279368872,0.2622073594,0.2134336867,0.1995210367,0.1839876664
Sex Offenses per 1000 population,0.1101534932,0.0797100074,0.1330065173,0.1175587225,0.1292141877,0.08418120387,0.03471498993,0.1088888284,0.07821482484,0.1170046802,0.08733536437,0.08492336847,0.08202635355,0.07991130726,0.07798530007,0.07557330417
Other Offenses per 1000 population,1.063550969,1.028638667,1.102054001,0.9556386472,1.02231225,1.170884017,1.145594668,1.197777112,1.286633869,1.450858034,1.574455728,1.70771396,1.857672146,1.611717743,1.728121336,1.861379567
Misdemeanors per 1000 population,20.74684068,19.50238181,17.98628133,19.8219175,18.04438127,13.80189102,11.42894613,13.44388142,13.35909208,13.06942278,9.191114959,7.289841635,5.05794866,6.733235708,5.16435409,3.263080766
Status Offenses per 1000 population,0.1937182122,0.4099371809,0.1786087518,0.2123641438,0.133014605,0.04974343865,0,0,0.06648260111,0.07020280811,0.04318871148,0.04853884518,0.05419051978,0,0,0
