Mariposa County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),179,157,116,99,195,136,76,58,103,111,129.0793272,138.0892944,146.319591,82.66051537,92.42901991,101.4389872
Violent Offenses,73,68,46,32,67,45,30,37,59,65,72.67776947,79.79004087,86.6198235,59.04692532,66.43147933,73.54375073
Property Offenses,28,18,19,32,33,30,18,7,16,13,15.04022831,14.41143993,13.68303317,9.270642077,8.740474536,8.111686155
Drug Offenses,27,42,18,14,34,14,5,3,11,7,12.25515055,13.6857946,15.03042978,0,0,0.5101952406
Sex Offenses,8,3,3,3,7,3,4,2,5,3,3.173061821,3.02369468,2.834325415,2.364305231,2.254911997,2.105544856
Other Offenses,43,26,30,18,54,44,19,9,12,23,27.30370479,29.49406412,31.64867904,15.15572635,17.37609384,19.56645317
Misdemeanor,480,371,417,390,503,386,208,242,226,265,223.3679615,206.0432666,186.0028873,126.7299566,112.11289,94.78819508
Status Offenses,0,0,0,0,0,0,1,0,1,0,0.1998665898,0.1381484637,0.07728103942,0.5204050782,0.4579888879,0.3962707618
Total Felonies per 1000 population,10.15429998,8.987863522,6.656719844,5.715275372,11.42154279,7.937897624,4.435107376,3.392804914,6.06024947,6.511027687,7.669556381,8.221133568,8.72724145,5.061431786,5.657252351,6.208829538
Violent Offenses per 1000 population,4.141139097,3.892832608,2.639733731,1.847361737,3.924324958,2.626510243,1.75070028,2.164375548,3.471405036,3.812763961,4.306494937,4.734024175,5.145370432,3.55577325,3.998891665,4.426420904
Property Offenses per 1000 population,1.588382119,1.03045569,1.090324802,1.847361737,1.932876472,1.751006829,1.050420168,0.4094764551,0.941397976,0.7625527921,0.9022397815,0.8711378605,0.8343320625,0.5791267176,0.5536692553,0.5225673342
Drug Offenses per 1000 population,1.531654187,2.404396611,1.032939286,0.8082207597,1.991448486,0.8171365202,0.29178338,0.1754899093,0.6472111085,0.4106053496,0.7279927337,0.813011442,0.8929749705,0,0,0.06609348285
Sex Offenses per 1000 population,0.4538234627,0.1717426151,0.1721565477,0.1731901628,0.4100041,0.1751006829,0.233426704,0.1169932729,0.2941868675,0.1759737213,0.1904418771,0.1828992905,0.1731135267,0.1464284387,0.1411270818,0.1335844951
Other Offenses per 1000 population,2.439301112,1.488435997,1.721565477,1.039140977,3.162888772,2.568143349,1.108776844,0.526469728,0.706048482,1.349131863,1.602830923,1.734613217,1.864363529,0.9069846474,1.040464485,1.172246779
Misdemeanors per 1000 population,27.22940776,21.23883673,23.92976013,22.51472116,29.46172319,22.5296212,12.13818861,14.15618602,13.29724641,15.54434538,13.45262557,12.53949816,11.4709478,8.057423308,7.299227279,6.386099872
Status Offenses per 1000 population,0,0,0,0,0,0,0.058356676,0,0.0588373735,0,0.01186520932,0.008287081671,0.004757739927,0.03062999811,0.0270119903,0.02343386265
