Merced County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"2,844","2,795","2,772","2,673","2,604","2,469","2,441","2,165","2,149","2,390",2352.699778,2489.308782,2675.319846,1961.772108,2048.608576,2185.21758
Violent Offenses,914,993,"1,050","1,029",976,991,"1,034",948,972,"1,131",1185.141908,1292.884452,1426.301186,1135.295125,1217.187183,1324.929728
Property Offenses,595,601,578,510,486,461,386,394,376,413,376.1217528,387.1018355,404.5908235,260.2200168,264.6294108,275.6094934
Drug Offenses,294,261,211,166,167,159,124,96,103,82,58.87100077,51.40821165,45.153805,0,0,0
Sex Offenses,53,55,66,65,57,49,46,45,49,55,44.1779838,42.42000652,40.70748114,41.38200635,39.57916353,37.82118625
Other Offenses,988,885,867,903,918,809,851,682,649,709,601.051202,565.0395041,529.3799104,508.2904452,471.9282239,435.916526
Misdemeanor,"6,690","7,042","7,840","7,326","7,534","5,698","5,283","4,403","4,664","4,567",3345.694929,2871.659217,2400.883302,2360.15345,1882.970678,1408.934965
Status Offenses,443,481,421,432,447,285,248,220,146,127,36.65640641,0,0,0,0,0
Total Felonies per 1000 population,10.63885501,10.39860707,10.17322372,9.698768514,9.32634693,8.725522418,8.569903874,7.413520344,7.299542802,8.053266122,7.762964433,8.205087859,8.839798773,5.984409404,6.232505731,6.674629157
Violent Offenses per 1000 population,3.419097568,3.694388845,3.853493834,3.733644894,3.495589326,3.502224672,3.630184599,3.246197361,3.301608005,3.810980746,3.879797421,4.191934075,4.589835408,3.591077033,3.816865735,4.12900239
Property Offenses per 1000 population,2.225780145,2.235979553,2.121256606,1.850494554,1.74063157,1.629188268,1.355175295,1.349157975,1.277165237,1.391631342,1.22948335,1.260074764,1.316682295,0.7430083705,0.7473416756,0.7779330892
Drug Offenses per 1000 population,1.099797248,0.9710327175,0.774368761,0.6023178351,0.5981182555,0.5619109212,0.4353412865,0.3287288466,0.3498617537,0.276304528,0.1747711173,0.1426754372,0.1147860047,0,0,0
Sex Offenses per 1000 population,0.1982627692,0.2046237527,0.2422196124,0.2358473451,0.2041481471,0.1731675166,0.161497574,0.1540916469,0.1664390867,0.1853262078,0.1410874764,0.1323207053,0.123813074,0.1243775483,0.1153537224,0.1065869513
Other Offenses per 1000 population,3.695917283,3.292582203,3.181884909,3.276463886,3.287859632,2.859031039,2.987705119,2.335344515,2.20446872,2.389023297,1.934671911,1.778602335,1.624978894,1.490277993,1.331754565,1.175684989
Misdemeanors per 1000 population,25.02599861,26.19928121,28.77275396,26.58181,26.98337088,20.13690836,18.5476453,15.07701158,15.84228368,15.38881438,10.45369681,8.549760382,6.665346213,6.15903722,4.235917728,2.3319813
Status Offenses per 1000 population,1.657177486,1.789527728,1.545067528,1.56747774,1.600951259,1.007198821,0.870682573,0.7533369402,0.495920544,0.4279350617,0.07071847742,0,0,0,0,0
