Monterey County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"3,403","3,197","3,075","3,233","2,905","2,709","2,316","2,184","1,957","1,962",1475.552784,1223.344401,948.2299765,998.8297123,769.672003,517.4636197
Violent Offenses,"1,243","1,217","1,164","1,244","1,134","1,064",964,"1,007",964,926,725.3997832,591.431199,432.090402,680.4273522,572.0057722,438.037188
Property Offenses,830,731,752,743,615,560,419,433,319,352,168.5496911,94.00130897,15.68954054,1.61674343,0,0
Drug Offenses,388,293,239,292,244,254,165,140,118,108,60.42714757,28.42933975,0,0,0,0
Sex Offenses,75,68,80,76,63,57,63,71,70,60,44.41136174,35.95572151,26.51714422,47.24215702,39.7803985,31.32475827
Other Offenses,867,888,840,878,849,774,705,533,486,516,438.23724,406.888702,379.9750392,277.3859997,241.5704345,210.2218965
Misdemeanor,"8,559","9,116","9,087","9,543","9,176","7,669","7,183","5,935","5,318","5,083",3946.781613,3301.793399,2658.773869,2619.710735,1972.926631,1327.938416
Status Offenses,86,61,78,81,44,19,12,37,30,8,0,0,0,0,0,0
Total Felonies per 1000 population,7.841953414,7.300320145,7.0043803,7.359686764,6.601927627,6.149745974,5.27268381,5.004273338,4.492272236,4.497410894,3.30092455,2.671600718,1.975749966,2.247419958,1.685049319,1.055725487
Violent Offenses per 1000 population,2.864398499,2.779008326,2.651414201,2.831874523,2.577138013,2.415404103,2.194674954,2.307373284,2.212851525,2.122631238,1.613374735,1.272530379,0.8645522829,1.536385763,1.263137863,0.9222935077
Property Offenses per 1000 population,1.912671564,1.669231788,1.712941134,1.691384864,1.397654214,1.271265318,0.9539095493,0.9921475986,0.7322610338,0.8068749413,0.3745421789,0.1983497267,0.01206997329,0,0,0
Drug Offenses per 1000 population,0.8941163457,0.6690628097,0.5444054933,0.664716528,0.5545164685,0.5766096262,0.3756445719,0.3207867524,0.2708677178,0.2475639024,0.1354103939,0.06069993285,0,0,0,0
Sex Offenses per 1000 population,0.1728317679,0.1552773756,0.1822277802,0.1730084114,0.1431743341,0.1293966484,0.1434279275,0.1626847102,0.1606842394,0.1375355014,0.1018623987,0.08277666715,0.06147636071,0.1080104877,0.09116393078,0.07207819927
Other Offenses per 1000 population,1.997935236,2.027739846,1.913391692,1.998702437,1.929444597,1.757070278,1.605026807,1.221280993,1.115607719,1.182805312,1.003982251,0.9335379401,0.8732063775,0.6350310321,0.5543990341,0.4839547234
Misdemeanors per 1000 population,19.72356135,20.8163023,20.69879798,21.72393776,20.85345539,17.4095245,16.35306036,13.59906697,12.20741122,11.65154922,9.000034812,7.509823344,6.016926778,5.971561486,4.48446391,2.994252442
Status Offenses per 1000 population,0.1981804271,0.1392929399,0.1776720857,0.1843905437,0.099994773,0.04313221613,0.02731960523,0.084779356,0.06886467403,0.01833806685,0,0,0,0,0,0
