Orange County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"17,249","17,999","18,452","17,804","16,602","15,867","16,630","14,677","16,453","16,601",16152.10748,16684.47922,17431.70796,14878.41741,15194.49152,15726.86326
Violent Offenses,"5,907","6,019","6,237","6,097","5,732","5,629","5,592","4,821","5,391","5,583",5530.548128,5773.238167,6100.660798,4983.886965,5141.235299,5383.925337
Property Offenses,"4,904","5,191","5,490","4,877","4,574","4,498","4,259","4,071","4,043","4,099",4092.933777,4331.507015,4676.293673,3375.380934,3507.04337,3745.616608
Drug Offenses,"2,179","2,115","1,914","1,855","1,767","1,853","2,025","1,503","1,735","1,760",1771.726639,1855.854605,1968.495091,1523.522463,1578.909216,1663.037182
Sex Offenses,409,343,395,393,416,282,327,306,319,326,231.9860952,194.8842401,153.3365648,224.6939225,192.0794313,154.9775763
Other Offenses,"3,850","4,331","4,416","4,582","4,113","3,605","4,427","3,976","4,965","4,833",4527.357102,4536.745354,4547.792722,4767.978625,4775.760608,4785.148859
Misdemeanor,"61,398","61,926","63,387","66,910","65,898","52,272","54,633","48,860","53,064","57,773",48784.37829,46617.63935,44253.56265,45485.29553,43517.23891,41350.49997
Status Offenses,820,745,735,537,545,652,209,31,16,19,0,0,0,0,0,0
Total Felonies per 1000 population,5.462928477,5.670022877,5.7917409,5.583016641,5.211168134,4.979818038,5.263739293,4.646842208,5.215619406,5.236189987,5.091436496,5.251418039,5.476830007,4.705512104,4.799625478,4.959607021
Violent Offenses per 1000 population,1.870805178,1.896097988,1.957678734,1.911910383,1.799205863,1.766647491,1.769983772,1.526362764,1.708953031,1.760957093,1.747577346,1.824941238,1.92913283,1.577669751,1.628013097,1.705376988
Property Offenses per 1000 population,1.553145182,1.635262445,1.723209275,1.529340157,1.43572359,1.411685986,1.348061675,1.288907449,1.281635523,1.292882522,1.298934902,1.378851023,1.493335047,1.07151006,1.116630955,1.196547075
Drug Offenses per 1000 population,0.6901107978,0.6662647027,0.6007691352,0.5816948927,0.554640049,0.5815593889,0.6409544239,0.475860451,0.5499969409,0.5551288703,0.5563725671,0.580651478,0.6132987717,0.4803396765,0.4961823544,0.5204612653
Sex Offenses per 1000 population,0.1295343351,0.1080514388,0.123983181,0.1232377859,0.1305773969,0.08850499065,0.1035022699,0.09688176847,0.1011233569,0.1028250067,0.07317390436,0.06140492931,0.04821443608,0.07110078022,0.06076659952,0.04899762446
Other Offenses per 1000 population,1.219332984,1.364346301,1.386100575,1.436833422,1.291021235,1.131420182,1.401237153,1.258829776,1.573910554,1.524396494,1.431354968,1.433518512,1.435792299,1.511785302,1.51385834,1.516021883
Misdemeanors per 1000 population,19.44535235,19.50785247,19.89600479,20.98178182,20.68458967,16.40543571,17.29247557,15.46942225,16.82134736,18.22242058,15.38036022,14.67410484,13.89847421,14.38957326,13.75316923,13.04691385
Status Offenses per 1000 population,0.25970209,0.2346889851,0.2307028811,0.1683936158,0.1710689455,0.2046285599,0.06615282696,0.009814819681,0.005072017899,0.005992868487,0,0,0,0,0,0
