Placer County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"2,590","2,508","2,808","2,631","2,637","2,580","2,448","2,589","2,635","2,907",2795.756126,2854.241104,2921.540652,2794.116653,2843.707281,2902.192258
Violent Offenses,685,669,779,764,784,755,761,754,808,824,805.3687379,804.350169,802.1209218,856.2407081,856.449674,855.4311052
Property Offenses,611,596,702,587,630,535,570,666,677,664,595.8819522,574.3097524,549.1473484,632.7198294,614.7761762,593.2039764
Drug Offenses,360,316,270,237,225,473,331,235,251,204,296.7510317,312.8384314,330.8999971,244.1770547,258.2541027,274.3415025
Sex Offenses,46,34,56,55,54,50,35,51,52,61,55.30872996,55.43420381,55.27861875,59.040138,59.448315,59.57378886
Other Offenses,888,893,"1,001",988,944,767,751,883,847,"1,154",973.6931944,988.067667,1001.796935,971.1468236,986.1531896,1000.527662
Misdemeanor,"6,486","6,171","7,355","6,477","6,341","6,047","5,628","5,048","5,198","5,451",4864.143096,4855.051343,4916.181377,4217.346283,4137.659008,4128.567256
Status Offenses,9,6,7,7,4,0,1,4,0,1,0,0,0,0,0,0
Total Felonies per 1000 population,6.921654356,6.58933568,7.252646777,6.664015582,6.572110029,6.35544684,5.927820073,6.187281778,6.205855407,6.700904979,6.219554946,6.245640428,6.292268535,5.909650009,5.915012338,5.94109782
Violent Offenses per 1000 population,1.830630592,1.757681647,2.012041253,1.935122731,1.953937908,1.859830374,1.842757792,1.801935288,1.902971981,1.899396527,1.793894295,1.757839612,1.718426682,1.835048987,1.802399703,1.76634502
Property Offenses per 1000 population,1.632869039,1.565886788,1.813161694,1.486802412,1.570128676,1.317893046,1.380252223,1.591629843,1.594445583,1.530581667,1.310843689,1.230127874,1.14036393,1.328427511,1.256857295,1.17614148
Drug Offenses per 1000 population,0.9620832309,0.8302352771,0.6973698824,0.6002933079,0.5607602414,1.165165254,0.8015148874,0.5616111309,0.5911459989,0.4702389459,0.6757111217,0.7065127606,0.741991671,0.5089399977,0.5349722765,0.5657739153
Sex Offenses per 1000 population,0.1229328573,0.08932911209,0.1446396793,0.1393085736,0.1345824579,0.1231675744,0.08475232948,0.1218815646,0.1224684938,0.1406106652,0.1224923771,0.1203230757,0.1174843233,0.1265070951,0.1250119155,0.1228426141
Other Offenses per 1000 population,2.373138636,2.346202856,2.585434268,2.502488558,2.352700746,1.889390591,1.818542841,2.110223951,1.994823351,2.660077175,2.151264786,2.14113077,2.128804484,2.040293866,2.032330196,2.02219618
Misdemeanors per 1000 population,17.33353288,16.21323385,18.99687217,16.4054842,15.80346974,14.89588645,13.62817458,12.06388506,12.24213905,12.56506125,10.65559098,10.437027,10.40341657,8.306809964,7.902286978,7.683722998
Status Offenses per 1000 population,0.02405208077,0.01576396096,0.01807995991,0.01773018209,0.009969070957,0,0.002421495128,0.009559338398,0,0.002305092872,0,0,0,0,0,0
