Plumas County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),199,184,212,205,168,129,125,143,105,17,0,0,0,0,0,0
Violent Offenses,68,74,102,78,65,62,53,61,54,8,0,0,0,0,0,0
Property Offenses,33,34,39,33,30,15,20,22,12,0,0,0,0,0,0,0
Drug Offenses,43,37,31,26,18,16,26,21,9,1,0,0,0,0,0,0
Sex Offenses,2,1,4,4,6,4,1,4,1,2,1.844552947,1.550932443,1.243880084,1.879353112,1.599473775,1.305853272
Other Offenses,53,38,36,64,49,32,25,35,29,6,2.039094212,0,0,0,0,0
Misdemeanor,638,644,673,683,598,473,350,423,410,126,58.87659142,0,0,0,0,0
Status Offenses,6,10,6,10,12,9,3,6,3,0,2.926882477,2.512550351,2.05809955,0.1711290221,0,0
Total Felonies per 1000 population,10.55366992,9.587827628,11.00726895,10.51767482,8.48784924,6.528009716,6.260956674,7.358616786,5.491631799,0.902622916,0,0,0,0,0,0
Violent Offenses per 1000 population,3.606279168,3.855974155,5.295950156,4.001847006,3.283989289,3.137493042,2.65464563,3.138990377,2.824267782,0.4247637252,0,0,0,0,0,0
Property Offenses per 1000 population,1.750106067,1.771663801,2.024922118,1.693089118,1.515687364,0.7590708972,1.001753068,1.13209489,0.6276150628,0,0,0,0,0,0,0
Drug Offenses per 1000 population,2.280441239,1.927987077,1.609553479,1.333949002,0.9094124185,0.8096756237,1.302278988,1.080636031,0.4707112971,0.05309546565,0,0,0,0,0,0
Sex Offenses per 1000 population,0.1060670344,0.05210775885,0.2076843198,0.2052229234,0.3031374728,0.2024189059,0.05008765339,0.2058354346,0.05230125523,0.1061909313,0.09453142323,0.07940174751,0.06358853701,0.09618453694,0.08175427122,0.0666245955
Other Offenses per 1000 population,2.810776411,1.980094836,1.869158879,3.283566774,2.475622695,1.619351247,1.252191335,1.801060052,1.516736402,0.3185727939,0.09013686647,0,0,0,0,0
Misdemeanors per 1000 population,33.83538396,33.5573967,34.94288681,35.04181417,30.21270146,23.93603563,17.53067869,21.76709721,21.44351464,6.690028672,2.77656003,0,0,0,0,0
Status Offenses per 1000 population,0.3182011031,0.5210775885,0.3115264798,0.5130573085,0.6062749457,0.4554425383,0.1502629602,0.3087531519,0.1569037657,0,0.1459787432,0.1240188277,0.09994998802,0.001524429591,0,0
