San Benito County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),652,582,494,412,421,304,345,314,314,330,213.5923041,184.3266351,153.6771271,95.00577949,67.11628815,37.85061911
Violent Offenses,212,183,222,179,178,139,152,139,132,140,89.0423415,75.05024372,61.48362442,66.99177013,52.57868423,38.58658645
Property Offenses,76,70,73,51,70,48,34,34,27,36,22.04911248,18.67839974,15.36827032,2.712898953,0,0
Drug Offenses,184,160,48,46,35,16,30,25,16,20,0,0,0,0,0,0
Sex Offenses,12,17,6,16,13,3,4,6,4,12,8.795964257,9.38764538,9.929344097,4.63964581,5.279598165,5.871279288
Other Offenses,168,152,145,120,125,98,125,110,135,122,100.5608321,95.07778646,89.25468451,88.22615441,83.08479714,77.60175149
Misdemeanor,"1,313","1,335","1,232","1,286","1,211",940,"1,029",875,"1,030","1,153",950.5002306,928.6901236,905.7545718,813.4023623,792.6959768,770.8858698
Status Offenses,8,5,3,2,5,1,2,3,6,3,3.471756236,3.535823137,3.557295025,2.288675254,2.395005941,2.459072843
Total Felonies per 1000 population,11.14796703,9.778225806,8.167989418,6.672605069,6.664239469,4.710768134,5.172181161,4.637081887,4.594606459,4.771613239,2.626828769,2.056126692,1.460948363,0.2892326905,0,0
Violent Offenses per 1000 population,3.624799097,3.074596774,3.670634921,2.899020164,2.817659443,2.153936746,2.278758077,2.052720963,1.931490613,2.024320768,1.084686702,0.8125766472,0.5456817435,0.5729585658,0.2957046306,0.02359457587
Property Offenses per 1000 population,1.29945628,1.176075269,1.207010582,0.825977812,1.10806832,0.7438054949,0.5097222014,0.5021044082,0.3950776254,0.5205396261,0.2629913773,0.1967851115,0.1315369883,0,0,0
Drug Offenses per 1000 population,3.146052047,2.688172043,0.7936507937,0.7449995951,0.5540341602,0.247935165,0.4497548836,0.3691944178,0.2341200743,0.2891886812,0,0,0,0,0,0
Sex Offenses per 1000 population,0.2051773074,0.2856182796,0.09920634921,0.259130294,0.2057841166,0.04648784343,0.05996731781,0.08860666027,0.05853001858,0.1735132087,0.1216850257,0.1282069669,0.1338264635,0.04608806922,0.05348523777,0.06000717893
Other Offenses per 1000 population,2.872482303,2.553763441,2.397486772,1.943477205,1.978693429,1.518602885,1.873978682,1.624455438,1.975388127,1.764050955,1.327453342,1.204488791,1.07570835,0.9923298121,0.8751978254,0.7522332741
Misdemeanors per 1000 population,22.44981705,22.42943548,20.37037037,20.82759738,19.16958194,14.56619094,15.42659251,12.92180462,15.07147979,16.67172747,12.72068179,12.02509049,11.30341274,9.428509074,8.758656294,8.063065001
Status Offenses per 1000 population,0.1367848716,0.08400537634,0.0496031746,0.03239128674,0.07914773717,0.01549594781,0.02998365891,0.04430333013,0.08779502787,0.04337830217,0.04663759177,0.04635945516,0.04532587899,0.02309186963,0.02356381592,0.0232856793
