San Bernardino County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"25,895","25,230","24,468","24,063","22,600","21,802","22,387","22,822","17,116","21,814",19164.64124,19127.26198,19277.21249,16795.88026,16570.05264,16532.67338
Violent Offenses,"8,774","8,901","8,855","8,839","8,325","8,072","7,983","8,139","6,388","8,343",7560.100974,7696.231826,7911.058321,6829.023388,6885.92752,7022.058372
Property Offenses,"7,640","7,385","7,424","7,310","6,850","5,999","5,694","6,019","4,542","5,695",4410.150981,4093.941791,3782.005834,3519.014973,3198.544991,2882.335802
Drug Offenses,"4,127","3,312","2,649","2,519","2,359","2,457","2,467","2,375","1,854","2,209",1774.566398,1677.625421,1576.669743,1156.194035,1063.171571,966.2305946
Sex Offenses,476,544,550,496,529,476,533,574,354,486,424.5363332,415.1687971,409.3387385,413.562402,400.654075,391.2865389
Other Offenses,"4,878","5,088","4,990","4,899","4,537","4,798","5,710","5,715","3,978","5,081",4679.49314,4699.20741,4767.553695,4736.682203,4707.648948,4727.363217
Misdemeanor,"49,310","49,023","49,306","48,461","43,059","31,930","33,272","33,686","27,062","35,614",22641.42721,19722.36429,16784.69472,15604.77561,12704.86,9785.79709
Status Offenses,"1,261","1,177","1,228","1,044",417,15,24,20,6,11,0,0,0,0,0,0
Total Felonies per 1000 population,12.26620435,11.86270297,11.40522241,11.137746,10.40745174,9.984767756,10.21828245,10.39239464,7.777154269,9.851504845,8.540987751,8.4848949,8.515495437,7.271047172,7.127726308,7.071633457
Violent Offenses per 1000 population,4.156156668,4.1850939,4.127564345,4.091199639,3.833718394,3.696773018,3.643746317,3.706235209,2.902574285,3.767814473,3.378761744,3.430868077,3.520558678,2.974692828,2.988956631,3.041062964
Property Offenses per 1000 population,3.61899213,3.472297321,3.460535031,3.383490142,3.154470991,2.747391146,2.59895923,2.740856337,2.063790295,2.57194096,1.945081461,1.784034386,1.624055286,1.486119466,1.324011965,1.162964889
Drug Offenses per 1000 population,1.954918916,1.557244242,1.234773343,1.165938669,1.086335338,1.125244215,1.126033091,1.081497558,0.8424190239,0.9976150272,0.7861251318,0.7362791301,0.6839606428,0.4774179119,0.4299988251,0.3801528233
Sex Offenses per 1000 population,0.225476473,0.2557792475,0.2563704562,0.2295774433,0.2436080517,0.2179960303,0.2432815717,0.2613808834,0.1608502343,0.2194843383,0.1892444399,0.1839548952,0.1802583306,0.1806057164,0.1737215327,0.168431988
Other Offenses per 1000 population,2.310660158,2.392288256,2.32597923,2.26754011,2.089318961,2.197363347,2.606262241,2.602424649,1.80752043,2.294650047,2.09104348,2.089789134,2.110313927,2.081440397,2.058353484,2.057099139
Misdemeanors per 1000 population,23.35765732,23.04975377,22.98291221,22.43054935,19.8289586,14.62313707,15.18661248,15.33950599,12.29640972,16.08377618,9.892655712,8.456074498,7.007441881,6.337518399,4.913234215,3.476653001
Status Offenses per 1000 population,0.5973231774,0.5534047321,0.5724053096,0.4832234895,0.1920312997,0.006869622803,0.0109545173,0.009107347854,0.002726275158,0.004967752512,0,0,0,0,0,0
