San Diego County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"22,831","22,521","22,667","21,845","21,749","19,923","9,089","16,798","18,636","19,283",18945.62833,19255.01135,19426.39993,15183.94093,15630.18307,15939.5661
Violent Offenses,"8,573","8,301","8,695","8,574","8,578","8,421","1,445","5,115","6,670","6,950",7492.143884,7937.749463,8346.750399,5297.357859,5778.56141,6224.166989
Property Offenses,"3,895","4,477","4,463","4,140","4,099","3,811","1,422","3,686","4,004","3,608",3920.731949,4035.794898,4128.764516,3302.681834,3439.590955,3554.653904
Drug Offenses,"3,046","2,521","2,113","2,094","2,038","2,229","1,100","1,431","1,465","1,459",1287.075145,1160.777288,993.5629511,671.9838277,586.6232904,460.325433
Sex Offenses,315,294,328,274,318,257,187,245,241,221,191.4315904,173.7849615,153.5445053,158.4537689,143.4126746,125.7660456
Other Offenses,"7,002","6,928","7,068","6,763","6,716","5,205","4,935","6,321","6,256","7,045",6013.128643,5880.395122,5705.018743,5724.846841,5634.883349,5502.149828
Misdemeanor,"66,978","64,790","64,826","62,416","63,041","49,164","24,274","38,523","41,632","40,178",33134.6772,30395.13683,27164.4278,18922.48222,16673.35816,13933.81779
Status Offenses,"1,218",797,697,432,461,366,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,6.998970893,6.859666949,6.883209245,6.613732585,6.595846761,6.03511106,2.775907965,5.115485169,5.671522784,5.845460727,5.725634081,5.807208829,5.844672112,4.579255091,4.704611883,4.78618663
Violent Offenses per 1000 population,2.628101155,2.528399953,2.640380482,2.595840842,2.601460918,2.550904494,0.441323249,1.557667975,2.029891445,2.106827364,2.268850739,2.402428092,2.524607614,1.597978212,1.742648606,1.876225959
Property Offenses per 1000 population,1.19403406,1.363648547,1.355263725,1.253415102,1.243108919,1.154434987,0.4342987267,1.122495436,1.21854353,1.093731385,1.187343358,1.220956994,1.247671915,0.9986048456,1.039043482,1.072657118
Drug Offenses per 1000 population,0.9337683562,0.7678708929,0.6416473788,0.6339737255,0.6180668398,0.6752126965,0.3359554144,0.4357815976,0.4458457222,0.442282176,0.3871827048,0.3471442046,0.2943505715,0.1998460197,0.17257106,0.1325325598
Sex Offenses per 1000 population,0.09656501385,0.08954940203,0.09960262198,0.08295549226,0.09644026254,0.0778509031,0.05711242045,0.07460970748,0.07334390378,0.06699407875,0.05766397996,0.05207439617,0.04565577078,0.04765201079,0.04289532936,0.03730574556
Other Offenses per 1000 population,2.146502308,2.110198154,2.146315037,2.047547424,2.036769821,1.576707979,1.507218155,1.924930453,1.903898183,2.135625723,1.820513545,1.77898015,1.724564079,1.729737761,1.701125553,1.659592158
Misdemeanors per 1000 population,20.53248095,19.73437332,19.6854865,18.89689783,19.11852387,14.89284747,7.413619755,11.73138678,12.66993113,12.17958415,9.852612928,8.920669407,7.820862763,5.565018826,4.800855113,3.868911592
Status Offenses per 1000 population,0.3733847202,0.2427580728,0.2116555717,0.1307911411,0.1398080536,0.1108693795,0,0,0,0,0,0,0,0,0,0
