San Francisco County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"7,430","7,614","7,202","7,499","7,008","5,381","4,851","5,066","6,098","5,819",4861.182017,4542.066738,4169.436215,4005.38279,3739.930163,3420.814884
Violent Offenses,"1,955","2,043","2,080","2,054","1,994","1,489","1,490","1,762","2,220","2,209",2005.342842,2004.032438,1991.055427,1982.780877,1993.155894,1991.84549
Property Offenses,"1,119","1,132","1,121","1,146",994,"1,000",829,"1,043","1,507","1,422",1459.116452,1520.924606,1575.831921,1479.724888,1548.397923,1610.206077
Drug Offenses,858,860,610,791,573,537,463,661,"1,076",915,984.687508,1041.859708,1093.143048,943.1652326,1006.173945,1063.346145
Sex Offenses,55,53,67,60,74,46,26,31,43,92,73.26850573,79.41439236,85.56525915,65.20030173,71.33297701,77.47886365
Other Offenses,"3,443","3,526","3,324","3,448","3,373","2,309","2,043","1,569","1,252","1,181",421.3892325,48.12671231,0,0,0,0
Misdemeanor,"12,484","9,943","8,307","7,937","8,609","5,328","4,787","6,314","6,626","7,497",5459.571211,5056.850078,4547.241697,3485.821529,3189.98779,2787.266656
Status Offenses,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Total Felonies per 1000 population,8.589347129,8.716926568,8.184639652,8.497585231,7.945794443,6.150937444,5.948512443,6.222241874,7.444292933,7.03180323,5.919580275,5.525963403,5.057699871,5.197385099,4.878719495,4.485102624
Violent Offenses per 1000 population,2.260050288,2.338938925,2.363794845,2.327515677,2.260832494,1.702052751,1.82710442,2.16415124,2.710123042,2.669402532,2.451437826,2.455452727,2.444104632,2.504933832,2.524357133,2.528372034
Property Offenses per 1000 population,1.293604231,1.295975949,1.273949049,1.29860417,1.127014794,1.143084453,1.016556754,1.281049798,1.839709651,1.718375012,1.776775803,1.852435392,1.918705807,1.849294695,1.934316188,2.009975777
Drug Offenses per 1000 population,0.9918788474,0.9845753675,0.693228296,0.8963314999,0.6496775422,0.6138363515,0.5677512391,0.8118637739,1.313555132,1.10570544,1.203705156,1.276202612,1.341668043,1.184677166,1.264149636,1.336647092
Sex Offenses per 1000 population,0.0635819774,0.06067731916,0.07614146858,0.06798974715,0.08390250982,0.05258188485,0.031882359,0.03807530559,0.05249337424,0.1111747546,0.08949638088,0.09735883254,0.1052441029,0.08180051764,0.08963039668,0.09749284834
Other Offenses per 1000 population,3.980231785,4.036759007,3.777525993,3.907144136,3.824367103,2.639382003,2.505217671,1.927101757,1.528411734,1.427145492,0.5605479302,0.1277120639,0,0,0,0
Misdemeanors per 1000 population,14.43195283,11.38329405,9.440405664,8.993910385,9.761036581,6.090353968,5.87003279,7.755079983,8.088862737,9.059534081,6.847175233,6.460423004,5.957465829,4.795745619,4.525179662,4.138427433
Status Offenses per 1000 population,0.01040432357,0,0.001136439829,0,0,0.001143084453,0,0,0.001220776145,0,0,0,0,0,0,0
