San Luis Obispo County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,662","1,689","1,701","1,552","1,463","1,574","1,439","1,523","1,363","1,371",1423.057932,1483.246435,1568.159913,1241.663752,1276.961164,1337.149667
Violent Offenses,664,669,680,644,583,632,568,670,587,610,587.0785122,583.1672712,579.9757184,560.3293449,555.693068,551.781827
Property Offenses,388,421,381,350,312,260,286,239,276,229,182.9886604,166.1569069,150.6273947,119.1416262,100.9995383,84.16778476
Drug Offenses,225,184,158,106,108,137,120,115,128,122,113.3387692,115.0924253,117.2736032,75.47243573,76.7838894,78.5375455
Sex Offenses,48,48,40,32,38,37,36,26,33,29,30.84618339,32.10249272,33.78606266,21.72104722,22.54492665,23.80123598
Other Offenses,337,367,442,420,422,508,429,473,339,381,403.5692026,403.3267909,405.3843862,418.9387771,416.3957082,416.1532964
Misdemeanor,"9,605","10,178","10,274","9,427","8,428","7,149","6,517","6,290","6,062","6,323",4737.338728,4368.347238,4045.576428,3014.547353,2599.028858,2230.037368
Status Offenses,4,9,18,5,14,0,5,0,1,4,0,0,0,0,0,0
Total Felonies per 1000 population,5.93440024,5.993740108,6.024053717,5.481580899,5.177038437,5.583064939,5.149068945,5.390482595,4.83321336,4.864410328,5.086873589,5.333343081,5.676411109,4.415343772,4.564564472,4.811033965
Violent Offenses per 1000 population,2.370903586,2.374074679,2.408204896,2.274573517,2.063030355,2.241738908,2.032433051,2.371387616,2.081508615,2.164325529,2.087516737,2.07854741,2.073608297,1.987737024,1.974708923,1.965739596
Property Offenses per 1000 population,1.385407517,1.493999163,1.349303037,1.236181259,1.104057411,0.922234361,1.02337298,0.8459128957,0.9786991103,0.8125090919,0.6483225576,0.5899452267,0.5367183287,0.4191695246,0.3556095722,0.2972322413
Drug Offenses per 1000 population,0.8033935343,0.6529592539,0.5595534905,0.3743863243,0.3821737192,0.4859465672,0.4293872644,0.4070292176,0.4538894425,0.4328651058,0.4010236429,0.4069074813,0.4142876248,0.2663333223,0.2706690204,0.2765528588
Sex Offenses per 1000 population,0.1713906206,0.1703371967,0.1416591115,0.1130222866,0.1344685308,0.1312410437,0.1288161793,0.09202399703,0.1170183719,0.1028941645,0.1087998227,0.112996672,0.1186706832,0.07645900076,0.07916070264,0.08335755187
Other Offenses per 1000 population,1.203304982,1.302369816,1.565333182,1.483417511,1.493308421,1.801904059,1.53505947,1.674128869,1.20209782,1.351816437,1.43186617,1.432223567,1.441264227,1.485377367,1.477046493,1.477403891
Misdemeanors per 1000 population,34.29597732,36.11858308,36.38514279,33.29565924,29.82370468,25.35789787,23.31930668,22.26272851,21.49592031,22.43447593,16.89181033,15.66249257,14.61894605,10.70207736,9.285750641,8.056432884
Status Offenses per 1000 population,0.01428255172,0.03193822438,0.06374660018,0.01765973228,0.04954103767,0,0.01789113602,0,0.003546011269,0.01419229855,0,0,0,0,0,0
