San Mateo County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"3,815","3,667","3,758","3,491","3,707","3,166","3,014","3,629","3,659","3,485",3099.409844,2865.942837,2575.513302,3135.567393,2959.417525,2725.950518
Violent Offenses,"1,269","1,299","1,415","1,415","1,491","1,287","1,184","1,455","1,555","1,533",1460.867498,1414.147288,1347.069768,1570.151181,1543.911505,1497.191294
Property Offenses,"1,007",997,950,874,902,634,663,914,"1,053",924,854.5207283,833.8228267,805.281239,830.2685888,817.4430895,796.7451879
Drug Offenses,465,399,303,228,241,328,217,204,142,146,152.6061942,154.6786831,159.2828163,26.39865444,25.89211777,27.96460659
Sex Offenses,86,79,100,64,92,104,69,68,73,70,77.92813774,80.12476237,82.75276904,68.15051667,69.90949754,72.10612217
Other Offenses,988,893,990,910,981,813,881,988,836,812,631.180442,517.3425905,385.8389079,676.6463006,580.6337976,466.7959462
Misdemeanor,"14,251","14,169","12,823","13,494","13,422","8,743","9,650","11,299","11,463","11,286",8934.729821,8039.241845,6990.825724,7978.641439,7236.958271,6341.470295
Status Offenses,141,84,80,43,56,58,12,2,6,8,0,0,0,0,0,0
Total Felonies per 1000 population,4.971105045,4.760742504,4.871914541,4.525039372,4.825208231,4.150895406,4.076664007,4.954367666,4.983200934,4.691119717,4.247813879,3.953461872,3.583277573,4.401325892,4.183295683,3.888943676
Violent Offenses per 1000 population,1.653560236,1.686447917,1.834422319,1.834125096,1.940756804,1.687366515,1.601449961,1.9863888,2.117758254,2.06355424,1.966206662,1.890256158,1.782061425,2.166585684,2.12308518,2.047134677
Property Offenses per 1000 population,1.312163245,1.294371496,1.231590956,1.132880095,1.174086276,0.8312279492,0.8967578754,1.247807122,1.434083242,1.243786117,1.170070818,1.145897872,1.11089271,1.165963959,1.152667961,1.128495016
Drug Offenses per 1000 population,0.6059145074,0.5180082518,0.3928126945,0.2955339378,0.3136971092,0.4300359106,0.2935089879,0.2785039967,0.1933901428,0.1965289752,0.2059523218,0.207445859,0.2118786046,0.04831210392,0.04680877581,0.0483023131
Sex Offenses per 1000 population,0.1120616078,0.1025630373,0.1296411533,0.08295689482,0.1197515935,0.1363528497,0.09332774269,0.09283466556,0.09941887624,0.094226221,0.1059845194,0.10920554,0.1129953191,0.0952525412,0.09789690756,0.1011179282
Other Offenses per 1000 population,1.287405448,1.159351802,1.283447418,1.179543348,1.276916449,1.065912181,1.191619439,1.348833082,1.138550418,1.093024164,0.8677577775,0.7186808562,0.5457592061,0.9562657521,0.8312530623,0.6821761411
Misdemeanors per 1000 population,18.56965085,18.39513514,16.62388509,17.49094279,17.47071618,11.46281697,13.05235822,15.42557185,15.61148737,15.191959,12.31393615,11.18609149,9.855410042,11.40032292,10.47653167,9.348687003
Status Offenses per 1000 population,0.1837289152,0.1090543688,0.1037129226,0.05573666371,0.07289227433,0.07604293541,0.01623091177,0.00273043134,0.008171414485,0.01076871097,0,0,0,0,0,0
