Santa Barbara County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"3,818","3,806","3,372","3,466","3,352","3,137","3,316","3,018","3,021","3,178",3025.976892,3046.51978,3082.422155,2684.389345,2689.404605,2709.947493
Violent Offenses,"1,201","1,387","1,291","1,306","1,208","1,184","1,265","1,157","1,218","1,317",1359.879056,1450.965642,1564.446562,1266.840749,1335.366562,1426.453148
Property Offenses,699,658,682,697,669,662,650,734,680,646,530.3423329,436.5375197,321.5369451,599.0245914,526.5764523,432.7716391
Drug Offenses,998,762,531,517,466,483,476,294,294,285,179.3236489,143.1661653,106.3786952,0,0,0
Sex Offenses,73,71,65,47,53,51,54,36,50,97,80.3724547,88.3769223,96.88153546,70.72412309,78.21679936,86.22126696
Other Offenses,847,928,803,899,956,757,871,797,779,833,777.718164,756.5393377,731.5506474,758.8348984,741.4874698,720.3086435
Misdemeanor,"20,173","18,830","16,040","14,866","12,748","9,061","9,273","8,125","8,742","10,419",5804.200596,4932.936243,4042.177898,1297.28513,444.9493325,0
Status Offenses,42,76,85,50,29,10,6,9,7,7,0,0,0,0,0,0
Total Felonies per 1000 population,8.606911228,8.534531666,7.541363439,7.744091946,7.478987659,7.000935095,7.586069634,6.777666489,6.811402391,7.149606299,6.796047387,6.845162641,6.932731147,6.050669469,6.060946343,6.110061597
Violent Offenses per 1000 population,2.707412359,3.110193227,2.887277639,2.917998869,2.695291495,2.642367597,2.893962028,2.598330062,2.746205929,2.96287964,3.052308296,3.256224218,3.511474028,2.854092126,3.006300896,3.210216818
Property Offenses per 1000 population,1.57575457,1.475491812,1.52526983,1.557308738,1.49267385,1.477404856,1.487016062,1.648378795,1.533185576,1.453318335,1.188831618,0.9770889368,0.718113212,1.348943193,1.184796484,0.973053802
Drug Offenses per 1000 population,2.249789787,1.708700244,1.18756346,1.155134315,1.039739931,1.077925295,1.088953301,0.660249817,0.6628772933,0.6411698538,0.401018918,0.3193767339,0.2365622519,0,0,0
Sex Offenses per 1000 population,0.164563782,0.1592096028,0.1453702917,0.1050122105,0.1182536832,0.1138181989,0.123536719,0.08084691636,0.1127342336,0.2182227222,0.1801773202,0.1979065594,0.216740082,0.1590709164,0.175670164,0.1933994032
Other Offenses per 1000 population,1.909390731,2.08093678,1.795882219,2.008637813,2.1330287,1.689419148,1.992601523,1.789860898,1.756399359,1.874015748,1.749437334,1.70457315,1.652678311,1.711965179,1.674175134,1.629310951
Misdemeanors per 1000 population,45.47596129,42.22418058,35.87291505,33.21513874,28.4433576,20.2217,21.21399991,18.24669987,19.71045339,23.43982002,13.08208673,11.13879327,9.1564859,3.045639271,1.140089206,0
Status Offenses per 1000 population,0.0946805321,0.1704215467,0.1900996122,0.1117151175,0.0647048455,0.02231729389,0.01372630211,0.02021172909,0.0157827927,0.0157480315,0,0,0,0,0,0
