Santa Clara County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"10,259","10,138","10,356","10,738","10,822","10,277","10,743","11,429","9,956","11,077",10367.08466,10102.00501,9780.831131,10854.47067,10646.04,10380.96036
Violent Offenses,"3,793","3,812","4,133","4,166","4,288","4,238","4,176","4,623","4,137","4,719",4664.283813,4723.78915,4782.735041,4922.400957,4982.500746,5042.006083
Property Offenses,"2,582","2,573","2,917","2,938","2,687","2,524","2,123","2,572","2,663","2,934",2666.122761,2645.62384,2612.706566,2657.50057,2649.464093,2628.965172
Drug Offenses,"1,225","1,088",790,880,919,952,897,643,495,544,526.3798587,501.4560348,479.0152775,285.3041487,257.8384746,232.9146506
Sex Offenses,301,307,307,336,346,332,388,358,249,267,253.7957868,236.4952823,219.7429124,266.2613042,248.4309337,231.1304291
Other Offenses,"2,358","2,358","2,209","2,418","2,582","2,231","3,159","3,233","2,412","2,613",2455.458082,2339.934627,2214.658277,2812.051695,2706.518908,2590.995453
Misdemeanor,"31,604","26,693","26,820","27,169","25,412","20,476","20,244","19,310","18,135","20,410",13429.02038,10915.46903,8087.734087,10191.94832,7994.601304,5481.049952
Status Offenses,129,125,101,121,82,56,33,24,12,9,0,0,0,0,0,0
Total Felonies per 1000 population,5.32150523,5.218897164,5.313581342,5.503827256,5.567628526,5.339250479,5.71947272,6.067465717,5.247907768,5.750327697,5.405906608,5.246189139,5.053305924,5.742238359,5.616029486,5.456312018
Violent Offenses per 1000 population,1.96748897,1.96236299,2.120609471,2.135308656,2.206060905,2.201784911,2.223263342,2.454273691,2.180654323,2.449742385,2.429967547,2.451270691,2.470462839,2.597150174,2.620607117,2.641910261
Property Offenses per 1000 population,1.339324155,1.32454354,1.49668953,1.505889782,1.382389378,1.311303708,1.130265343,1.365431956,1.403694093,1.523107471,1.392201854,1.376543741,1.353139985,1.407085332,1.399209539,1.383551427
Drug Offenses per 1000 population,0.6354268357,0.5600868135,0.405342725,0.4510493561,0.472800833,0.4945963273,0.4775544103,0.341357989,0.2609194802,0.2824030213,0.2741104568,0.2599254579,0.2469047452,0.1546429071,0.1392662975,0.1250812985
Sex Offenses per 1000 population,0.156133451,0.158039202,0.1575192615,0.172218845,0.178007713,0.1724852738,0.206567571,0.1900562365,0.1312504052,0.1386058946,0.132481088,0.123146983,0.1140972027,0.1411534477,0.1315454954,0.1222113904
Other Offenses per 1000 population,1.223131819,1.21386462,1.133420354,1.239360617,1.328369696,1.159080259,1.681822054,1.716345845,1.271389467,1.356468924,1.283778148,1.221801459,1.155065697,1.487718892,1.430631475,1.368654787
Misdemeanors per 1000 population,16.39349364,13.741174,13.76112897,13.92563631,13.07379191,10.63797731,10.77771626,10.25135734,9.559140958,10.59530453,6.98413717,5.60831641,4.052387877,5.491930477,4.29742811,2.92160735
Status Offenses per 1000 population,0.06691433616,0.06434820927,0.05182229775,0.06201928646,0.04218679903,0.02909390161,0.01756889135,0.01274120021,0.006325320733,0.004672108808,0,0,0,0,0,0
