Shasta County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,907","2,054","2,234","2,130","1,951","1,774","1,771","1,925","1,517","1,635",1370.416547,1284.688861,1207.581242,1251.215825,1156.894334,1071.166647
Violent Offenses,432,560,589,515,579,498,390,475,440,646,604.7186871,639.3417898,676.5746143,571.2778742,603.2423823,637.865485
Property Offenses,423,383,472,426,449,305,362,387,291,305,181.8962501,126.4090811,67.13090131,176.8581243,125.2200387,69.73286975
Drug Offenses,238,216,142,160,223,255,265,333,152,165,212.4389907,209.2702641,205.5990705,220.062007,217.4020005,214.2332738
Sex Offenses,31,37,34,31,23,34,15,39,20,40,37.66462718,40.35584572,43.08423562,33.44195371,36.09212891,38.78334745
Other Offenses,783,858,997,998,677,682,739,691,614,479,298.846396,206.1238631,116.3375803,238.2849229,142.686559,49.96402601
Misdemeanor,"8,089","7,114","8,422","7,502","6,409","6,626","7,040","7,249","6,828","9,517",7865.280211,8066.329193,8312.511872,7801.906294,7957.500265,8158.549247
Status Offenses,124,127,143,84,185,74,78,46,22,3,0,0,0,0,0,0
Total Felonies per 1000 population,10.60056922,11.38637737,12.30921814,11.70066084,10.7016697,9.737087656,9.717794373,10.63700462,8.397174741,9.02711447,7.539437818,7.045679219,6.591922769,6.885547086,6.3519675,5.858208901
Violent Offenses per 1000 population,2.401387468,3.104367735,3.245357871,2.82903302,3.175944007,2.733410176,2.13999989,2.624715426,2.435568152,3.566676421,3.335839165,3.52892424,3.736437832,3.142890894,3.321273257,3.514358333
Property Offenses per 1000 population,2.351358563,2.12316579,2.600694253,2.340132168,2.462865042,1.674076514,1.986358872,2.138452357,1.610796209,1.683957134,0.999756711,0.690683907,0.3593695764,0.9697592695,0.6832535891,0.3741807851
Drug Offenses per 1000 population,1.322986614,1.197398983,0.7824122541,0.87892288,1.223204687,1.399637741,1.45410249,1.840063656,0.8413780887,0.9109932034,1.171566601,1.154477778,1.13452714,1.210985991,1.196792521,1.179703697
Sex Offenses per 1000 population,0.1723217859,0.205110011,0.1873381454,0.170291308,0.1261601246,0.1866183654,0.08230768809,0.2155029507,0.1107076433,0.2208468372,0.2077631535,0.2227108032,0.2378557321,0.183967393,0.1986961743,0.213643824
Other Offenses per 1000 population,4.352514786,4.75633485,5.493415615,5.482281464,3.713495842,3.74334486,4.055025433,3.81827023,3.398724648,2.644640875,1.639679107,1.12205725,0.618617801,1.303491345,0.7720294464,0.2544075892
Misdemeanors per 1000 population,44.96486859,39.43655726,46.40476059,41.21049654,35.15479299,36.36862616,38.62974161,40.05592025,37.79558941,52.54498374,43.35189948,44.44144453,45.76577573,42.92267654,43.77568957,44.86523462
Status Offenses per 1000 population,0.6892871437,0.7040262541,0.7879221996,0.461434512,1.01476622,0.4061693836,0.4279999781,0.2541829675,0.1217784076,0.01656351279,0,0,0,0,0,0
