Sierra County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),35,58,57,45,31,40,20,14,15,16,8.543435606,6.465081029,4.768843312,0,0,0
Violent Offenses,13,19,20,10,12,14,6,5,2,7,3.878864712,3.689632449,3.654133393,0,0,0
Property Offenses,4,5,13,15,6,9,4,5,2,4,0,0,0,0,0,0
Drug Offenses,12,13,4,3,1,10,3,2,1,1,3.912691202,4.833210915,5.796928563,0,0,0.1513872984
Sex Offenses,1,4,3,7,2,0,3,1,0,0,0,0,0,0,0,0
Other Offenses,5,17,17,10,10,7,4,1,10,4,3.166135104,2.559861435,1.983305038,0,0,0
Misdemeanor,71,66,58,67,59,64,43,35,50,43,43.87692887,42.94535328,41.70963844,30.82148681,30.19150583,29.25993024
Status Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,11.11817027,18.44783715,17.66346452,14.02306014,9.576768613,12.38773614,6.064281383,4.354587869,4.716981132,5.139736588,2.899288336,2.336925836,1.895805317,0,0,0
Violent Offenses per 1000 population,4.129606099,6.043256997,6.197706848,3.116235587,3.707136237,4.335707649,1.819284415,1.555209953,0.6289308176,2.248634757,1.287139442,1.255560589,1.272198381,0,0,0
Property Offenses per 1000 population,1.27064803,1.590330789,4.028509452,4.674353381,1.853568119,2.787240632,1.212856277,1.555209953,0.6289308176,1.284934147,0,0,0,0,0,0
Drug Offenses per 1000 population,3.811944091,4.134860051,1.23954137,0.9348706762,0.3089280198,3.096934035,0.9096422074,0.6220839813,0.3144654088,0.3212335368,1.232739915,1.528168494,1.837248622,0,0,0.0381787333
Sex Offenses per 1000 population,0.3176620076,1.272264631,0.9296560273,2.181364911,0.6178560395,0,0.9096422074,0.3110419907,0,0,0,0,0,0,0,0
Other Offenses per 1000 population,1.588310038,5.407124682,5.268050821,3.116235587,3.089280198,2.167853825,1.212856277,0.3110419907,3.144654088,1.284934147,1.056812042,0.8897719192,0.7320899791,0.01266271909,0,0
Misdemeanors per 1000 population,22.55400254,20.99236641,17.97334986,20.87877844,18.22675317,19.82037783,13.03820497,10.88646967,15.72327044,13.81304208,14.03943183,13.82343757,13.49652181,9.798743321,9.69279461,9.476800347
Status Offenses per 1000 population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
