Siskiyou County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),717,663,624,585,524,504,561,743,397,363,270.4163767,198.7253382,124.0559021,232.9357599,164.2844592,92.5934207
Violent Offenses,196,158,155,179,166,136,147,171,81,123,80.08536716,63.26402927,45.43658924,66.46424472,50.66265841,33.84132052
Property Offenses,94,117,130,101,69,74,73,91,59,55,29.62517323,20.03106522,11.17475544,15.75729652,5.428195256,0
Drug Offenses,133,162,91,71,44,53,34,81,51,43,36.16792898,34.32912599,32.40455474,0,0,0
Sex Offenses,9,8,11,8,5,3,6,8,6,6,1.569668182,0.2494615628,0,1.441226327,0.1299129127,0
Other Offenses,285,218,237,226,240,238,301,392,200,136,128.3344854,90.13524316,50.29121727,157.0264398,120.519641,82.32039878
Misdemeanor,"1,654","1,630","1,689","1,643","1,615","1,345","1,290","1,405","1,379","1,365",1095.350775,965.4497331,815.0114798,1032.780545,923.5643619,793.6633196
Status Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,16.42988084,15.12421014,14.13299511,13.23589303,11.82657368,11.45480579,12.70840884,16.98441,9.245243474,8.541578427,6.489432628,4.924521626,3.290334479,5.649723988,4.155431126,2.590520123
Violent Offenses per 1000 population,4.491292392,3.604261241,3.510599746,4.049957012,3.746586318,3.09097934,3.330010874,3.908928816,1.886309122,2.894253847,1.918619821,1.555654551,1.169604327,1.612067679,1.272481302,0.9095160325
Property Offenses per 1000 population,2.153987168,2.66897826,2.944373981,2.285171275,1.557316,1.681856406,1.653678869,2.080190189,1.373978249,1.29417855,0.7239293824,0.5141128682,0.3203703158,0.4116432051,0.1858113094,0
Drug Offenses per 1000 population,3.047662695,3.695508361,2.061061787,1.60640753,0.9930710723,1.204572831,0.7702065966,1.85159786,1.187676114,1.011812321,0.8717350626,0.8393277217,0.8046258412,0,0,0
Sex Offenses per 1000 population,0.2062328139,0.18249424,0.2491393368,0.1810036653,0.1128489855,0.0681833678,0.1359188112,0.1828738628,0.1397266016,0.1411831145,0.04161503545,0.01281728235,0,0.0388512919,0.01025785633,0
Other Offenses per 1000 population,6.530705775,4.972968041,5.367820257,5.113353545,5.416751303,5.409213846,6.818593693,8.960819275,4.657553387,3.200150595,3.061487342,2.215086326,1.32968035,3.732909549,2.926586486,2.08018547
Misdemeanors per 1000 population,37.90100825,37.18320141,38.25421272,37.17362777,36.45022231,30.56887657,29.2225444,32.11722215,32.1138306,32.11915855,26.2938204,23.69057838,20.64502357,24.86792074,22.70995941,20.10671739
Status Offenses per 1000 population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
