Sonoma County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"3,439","3,451","3,410","3,536","3,572","2,361","2,628","3,205","3,622","3,453",3024.803023,2896.94402,2736.531833,3027.936426,2932.821532,2804.962529
Violent Offenses,"1,340","1,382","1,484","1,475","1,545","1,085","1,092","1,276","1,399","1,301",1121.957908,1037.618984,938.1963341,1121.982869,1052.838964,968.5000406
Property Offenses,742,795,733,806,670,500,534,628,730,777,659.0234238,650.8566194,639.0353743,621.5514968,617.0430348,608.8762303
Drug Offenses,488,366,270,265,220,136,176,195,265,208,137.8633914,118.0460618,95.29868781,57.07085701,40.18330907,20.36597945
Sex Offenses,79,83,70,88,87,59,44,39,56,58,50.20128221,48.29362831,45.85441879,34.25867317,32.88058689,30.97293299
Other Offenses,790,825,853,902,"1,050",581,782,"1,067","1,172","1,109",1055.442368,1040.579244,1015.026869,1194.624973,1190.531629,1175.668505
Misdemeanor,"12,848","12,793","12,431","13,153","12,586","7,130","7,702","8,713","9,704","9,979",7057.551804,6267.206373,5388.540314,5608.2413,4906.691511,4116.346081
Status Offenses,12,9,11,9,6,8,1,5,10,14,12.24179773,13.55078006,14.84370753,10.07727052,11.40046441,12.70944674
Total Felonies per 1000 population,6.88335525,6.88452707,6.808561616,7.133792914,7.281192224,4.833152849,5.423465776,6.630147415,7.493286661,7.114087046,6.321017316,6.06495029,5.736426273,6.44790898,6.264735471,6.008668445
Violent Offenses per 1000 population,2.682086663,2.757002727,2.963022123,2.975776173,3.149339862,2.221080407,2.253586236,2.639646833,2.894287145,2.680401751,2.347447859,2.177006704,1.973189024,2.39464351,2.257825108,2.087383953
Property Offenses per 1000 population,1.485155451,1.585974796,1.463541251,1.62608515,1.365733144,1.023539358,1.102028434,1.299136529,1.510242756,1.600824105,1.382485862,1.370808974,1.351270945,1.328920323,1.325115962,1.313439073
Drug Offenses per 1000 population,0.9767599192,0.7301468872,0.5390943215,0.5346309735,0.448449689,0.2784027054,0.363215364,0.4033943045,0.5482388087,0.4285346382,0.2943357242,0.2558564571,0.211395423,0.1396583825,0.1071616999,0.06868243273
Sex Offenses per 1000 population,0.1581230197,0.1655797586,0.1397651945,0.1775378327,0.1773414679,0.1207776443,0.090803841,0.0806788609,0.1158542388,0.1194952356,0.1056751192,0.1023151616,0.09785671851,0.07517468306,0.07290932209,0.06954936451
Other Offenses per 1000 population,1.581230197,1.645822901,1.703138727,1.819762785,2.140328061,1.189352734,1.613831901,2.207290887,2.424663712,2.284831316,2.198943541,2.171790343,2.121670296,2.513400527,2.509387692,2.482234493
Misdemeanors per 1000 population,25.71600705,25.52122713,24.82030189,26.53585356,25.65539903,14.59567125,15.89479962,18.024485,20.07588453,20.55936132,14.98197224,13.44563324,11.72185106,12.39912947,11.05126524,9.514926242
Status Offenses per 1000 population,0.02401868654,0.01795443165,0.02196310199,0.01815727835,0.01223044606,0.01637662973,0.002063723659,0.0103434437,0.02068825693,0.02884367757,0.02560638587,0.0283994818,0.03115837718,0.02143293591,0.02425643756,0.02704953349
