Sutter County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,018","1,029","1,168","1,084","1,114",882,"1,088","1,497","1,174",912,803.4361794,663.0255671,505.7161018,973.0526411,849.7620648,709.3514526
Violent Offenses,397,410,450,400,409,357,423,483,412,383,334.4452998,301.953643,266.1915841,367.8924042,338.7189953,306.2273386
Property Offenses,238,214,299,254,252,203,201,279,166,172,108.5354897,75.59772696,41.23703404,112.4776043,80.99762192,48.0598592
Drug Offenses,83,70,65,53,53,33,66,84,113,151,135.7952117,147.3163664,158.6921068,148.5947157,160.2548439,171.7759986
Sex Offenses,19,34,27,32,19,13,32,26,17,16,7.329220064,3.445933582,0,7.890705468,3.923385021,0.04009853965
Other Offenses,281,301,327,345,381,276,366,625,466,190,258.9495385,206.7190457,149.9229324,355.3668,307.7901974,255.5597047
Misdemeanor,"2,792","2,697","3,171","3,314","3,322","2,259","2,558","3,869","3,248","3,106",2637.602369,2361.538351,2038.465772,3048.749399,2820.184907,2544.120889
Status Offenses,33,43,13,6,1,6,1,0,0,0,0,0,0.9896084015,0,0,0
Total Felonies per 1000 population,10.51489955,10.53612385,11.87474583,10.96622121,11.17195178,8.866192865,10.97648329,15.16993981,11.92398712,9.254655234,8.110060908,6.694602764,5.110497035,9.762942999,8.518339992,7.102881848
Violent Offenses per 1000 population,4.100604245,4.198066841,4.5750305,4.046576091,4.101730951,3.588697112,4.267511425,4.894509637,4.184567882,3.886549292,3.376479926,3.049596607,2.690395519,3.689573212,3.395479806,3.068596487
Property Offenses per 1000 population,2.458296752,2.191186107,3.039853599,2.569575818,2.527227872,2.040631691,2.027824578,2.827263331,1.686015215,1.745395505,1.083918194,0.7462943906,0.3935851657,1.112891494,0.7907081018,0.4530842981
Drug Offenses per 1000 population,0.8573051697,0.7167431193,0.6608377389,0.536171332,0.5315201476,0.3317283045,0.6658528465,0.8512190673,1.147709152,1.532294891,1.364844649,1.479715583,1.593088283,1.488930971,1.605234929,1.720105863
Sex Offenses per 1000 population,0.196250581,0.3481323722,0.27450183,0.3237260873,0.1905449586,0.1306808472,0.3228377438,0.2634725685,0.1726642087,0.1623623725,0.0745340715,0.03547234155,0,0.07849234733,0.03858040327,0
Other Offenses per 1000 population,2.902442803,3.081995413,3.324522163,3.490171878,3.820927854,2.77445491,3.692456694,6.333475203,4.733030663,1.928053174,2.614244954,2.08590013,1.511383102,3.572147678,3.090862542,2.562517719
Misdemeanors per 1000 population,28.83850643,27.61508847,32.23871492,33.52588291,33.31528171,22.7083103,25.80684214,39.2067449,32.98902059,31.51859557,26.6409685,23.85568142,20.59785885,30.63634431,28.32849416,25.54320709
Status Offenses per 1000 population,0.3408562723,0.440285059,0.1321675478,0.06069864136,0.01002868203,0.06031423718,0.01008867949,0,0,0,0,0,0.009089054081,0,0,0
