Tehama County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,143",906,557,570,558,504,496,537,570,532,476.0843415,462.0488558,441.356029,276.6034686,269.1912366,255.1557509
Violent Offenses,252,282,181,209,184,172,166,171,214,223,225.7181921,236.4797986,246.5914234,189.4269274,200.8187086,211.5803151
Property Offenses,216,175,130,142,119,75,93,154,124,110,80.9064628,69.0648751,55.5281058,57.30157887,47.1626806,35.32109291
Drug Offenses,337,183,49,25,58,75,58,70,62,44,48.36392986,51.39893386,53.38319367,0,0,0
Sex Offenses,17,16,29,24,20,7,11,11,15,13,1.591342868,0,0,0.8832939464,0,0
Other Offenses,321,250,168,170,177,175,168,131,155,142,130.0587669,125.0538697,118.6949248,72.01255615,68.3510261,63.34612889
Misdemeanor,"2,590","2,216","1,744","1,971","1,968","1,402","1,356","1,334","1,591","1,425",1049.315737,847.1332913,601.080961,728.7663812,570.6404273,368.4579813
Status Offenses,3,6,5,2,0,2,0,0,0,1,0,0,0,0,0,0
Total Felonies per 1000 population,17.93166201,14.11808705,8.616288963,8.791547775,8.425184961,7.67240067,7.576336169,8.227489313,8.774765621,8.254332749,7.302797347,7.105886721,6.810639421,4.11097975,4.011816674,3.814906048
Violent Offenses per 1000 population,3.953437294,4.394371465,2.799907185,3.223567518,2.778197192,2.618358959,2.535628637,2.619926765,3.294385689,3.459992863,3.476017916,3.648821875,3.812656471,2.887901048,3.069351398,3.242155357
Property Offenses per 1000 population,3.388660538,2.727003568,2.010983061,2.19017506,1.796768836,1.14172629,1.420563032,2.359466209,1.908896381,1.706722937,1.247284201,1.069002146,0.8650423966,0.8635155279,0.7110157494,0.5327336943
Drug Offenses per 1000 population,5.286937969,2.851666589,0.7579859231,0.3855942007,0.8757360713,1.14172629,0.8859425359,1.07248464,0.9544481904,0.6826891747,0.7165184577,0.7600777147,0.7871084547,0,0,0
Sex Offenses per 1000 population,0.2667001349,0.2493260405,0.4486039137,0.3701704326,0.3019779556,0.1065611204,0.1680235844,0.1685333006,0.2309148848,0.2017036198,0.02186957701,0,0,0.01050316068,0,0
Other Offenses per 1000 population,5.035926077,3.895719384,2.598808879,2.622040565,2.672504907,2.66402801,2.56617838,2.007078399,2.386120476,2.203224155,1.992428045,1.918756816,1.824946714,1.068420928,1.014710328,0.9410390988
Misdemeanors per 1000 population,40.63254997,34.53165662,26.97811122,30.40024678,29.71463083,21.34267012,20.7127255,20.43849301,24.49237211,22.10981986,16.226436,13.2761987,9.690762705,10.92734728,8.614827417,5.664590114
Status Offenses per 1000 population,0.04706472969,0.0934972652,0.07734550236,0.03084753605,0,0.0304460344,0,0,0,0.01551566306,0,0,0,0,0,0
