Trinity County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),377,314,268,264,139,195,192,116,73,102,17.43386762,0,0,0,0,0
Violent Offenses,47,76,84,67,28,60,60,36,35,29,13.72860228,7.490928666,1.934699798,4.802808531,0,0
Property Offenses,48,43,29,31,12,21,37,31,16,15,4.896742318,0.496651769,0,0,0,0
Drug Offenses,163,103,60,75,47,43,26,10,6,12,0,0,0,0,0,0
Sex Offenses,8,6,5,3,3,0,4,4,3,0,0,0,0,0,0,0
Other Offenses,111,86,90,88,49,71,65,35,13,46,10.61170314,4.16232565,0,0,0,0
Misdemeanor,396,470,388,346,334,253,327,221,228,275,209.3936563,208.1722422,211.7271378,124.0254729,117.9905051,116.769091
Status Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,24.93386243,20.60367454,17.26136803,16.72685801,8.737742017,12.11556384,11.9239846,7.352475122,4.654424892,6.520905255,0.9025916288,0,0,0,0,0
Violent Offenses per 1000 population,3.108465608,4.98687664,5.410279531,4.245073814,1.760120694,3.727865797,3.726245187,2.281802624,2.231573578,1.853982867,0.8694904412,0.487023698,0.1495672662,0.2208649736,0,0
Property Offenses per 1000 population,3.174603175,2.82152231,1.8678346,1.96413863,0.7543374403,1.304753029,2.297851199,1.964885593,1.020147921,0.9589566552,0.2994442193,0.02259669292,0,0,0,0
Drug Offenses per 1000 population,10.78042328,6.758530184,3.864485379,4.751948299,2.954488308,2.671637154,1.614706248,0.6338340622,0.3825554705,0.7671653241,0,0,0,0,0,0
Sex Offenses per 1000 population,0.5291005291,0.3937007874,0.3220404483,0.190077932,0.1885843601,0,0.2484163458,0.2535336249,0.1912777353,0,0,0,0,0,0,0
Other Offenses per 1000 population,7.341269841,5.643044619,5.796728069,5.575619337,3.080211214,4.41130786,4.036765619,2.218419218,0.8288701862,2.940800409,0.6321075556,0.2327589557,0,0,0,0
Misdemeanors per 1000 population,26.19047619,30.83989501,24.99033879,21.92232149,20.99572542,15.71916744,20.30803627,14.00773278,14.53710788,17.58087201,13.09073967,12.97456836,13.14347606,7.233751248,6.83008016,6.713908845
Status Offenses per 1000 population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
