Tulare County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"7,049","6,712","6,300","6,596","6,460","6,309","6,083","5,545","4,049","4,471",3973.32506,3688.3906,3420.712074,3137.121642,2834.894352,2549.959892
Violent Offenses,"2,082","2,036","2,117","2,322","2,235","2,247","2,360","2,390","1,904","2,144",2045.865741,1995.867279,1946.064051,2130.401168,2080.281437,2030.282975
Property Offenses,"1,492","1,445","1,297","1,495","1,382","1,282","1,233","1,231",873,878,725.4704429,603.5892684,472.3614752,580.0212966,467.5772581,345.6960836
Drug Offenses,"1,809","1,635","1,159",931,768,697,635,592,318,292,0,0,0,0,0,0
Sex Offenses,140,120,127,107,123,120,113,105,81,94,84.96650849,83.05755605,81.9973458,68.8280977,66.06488434,64.1559319
Other Offenses,"1,526","1,476","1,600","1,741","1,952","1,963","1,742","1,227",873,"1,063",1018.759782,936.2143848,857.5855863,861.738606,775.2926223,692.7472252
Misdemeanor,"17,500","15,737","15,406","15,163","15,955","13,984","12,576","10,770","10,624","10,623",8753.984623,7796.511068,6758.170455,6447.1866,5570.888027,4613.414473
Status Offenses,354,314,319,360,329,225,162,184,1,1,0,0,0,0,0,0
Total Felonies per 1000 population,15.34609816,14.52760396,13.53145096,14.08583046,13.73798724,13.31169927,12.75425159,11.59343325,8.422309448,9.246276466,8.04955061,7.389228538,6.763921771,6.049031511,5.353602865,4.693280793
Violent Offenses per 1000 population,4.532639577,4.406764253,4.546997092,4.958656507,4.753003324,4.741066455,4.94822189,4.996989262,3.960503134,4.433911148,4.170417553,4.034359588,3.89671279,4.275718549,4.141415802,4.005357837
Property Offenses per 1000 population,3.248173991,3.127590543,2.785760618,3.192588923,2.938993554,2.704960924,2.585236267,2.573763088,1.815923968,1.815752793,1.450728325,1.172509989,0.8719740649,1.100747724,0.845050779,0.5668324428
Drug Offenses per 1000 population,3.938302111,3.538830822,2.489357406,1.988160727,1.63324678,1.470637881,1.331407161,1.237747968,0.6614705864,0.6038722273,0,0,0,0,0,0
Sex Offenses per 1000 population,0.3047884442,0.2597307025,0.2727768685,0.2284996754,0.2615746796,0.2531944702,0.2369275735,0.219533001,0.1684877909,0.1943972238,0.1724914889,0.1672569685,0.1637973299,0.1339914147,0.1269701069,0.1217355865
Other Offenses per 1000 population,3.322194041,3.194687641,3.436558973,3.717924625,4.151168899,4.141839542,3.6524587,2.565399926,1.815923968,2.198343074,2.073684517,1.886777703,1.708272488,1.687738382,1.492458216,1.305551402
Misdemeanors per 1000 population,38.09855552,34.06151722,33.08976722,32.38075307,33.93027652,29.5055956,26.3681519,22.51781353,22.09894186,21.96895435,17.48331272,15.18702152,12.68502774,12.15481746,10.06506276,7.768771564
Status Offenses per 1000 population,0.7706793517,0.6796286717,0.6851639453,0.7687839546,0.6996591023,0.4747396317,0.3396660789,0.3847054494,0.002080096184,0.002068055573,0,0,0,0,0,0
