Ventura County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"6,963","6,524","6,287","6,811","6,619","6,271","6,324","6,000","5,419","5,692",5038.742626,4666.492813,4242.024512,4819.588115,4499.960272,4127.710459
Violent Offenses,"2,214","2,135","2,093","2,271","2,090","1,953","1,845","1,764","1,825","1,973",1745.530787,1681.624728,1606.614552,1615.981596,1563.224259,1499.3182
Property Offenses,"1,468","1,458","1,486","1,535","1,387","1,345","1,276","1,323","1,185","1,117",936.175896,810.4008094,669.2139993,887.1536907,776.9341683,651.1590817
Drug Offenses,891,750,713,732,721,729,752,544,510,893,750.7550175,786.3558182,826.9545772,656.9695812,687.4976275,723.0984281
Sex Offenses,91,95,77,80,83,82,93,102,53,55,52.62149696,46.41743557,40.15914234,48.14705087,42.00162793,35.79756653
Other Offenses,"2,299","2,086","1,918","2,193","2,338","2,162","2,358","2,267","1,846","1,654",1622.002265,1461.065415,1282.244814,1640.757263,1497.898099,1336.961249
Misdemeanor,"24,554","24,632","24,989","26,612","26,796","22,635","20,570","18,271","17,246","16,019",13517.9167,11683.05202,9734.736961,10803.76695,9083.447968,7248.583293
Status Offenses,716,774,874,630,550,187,125,214,121,50,0,0,0,0,0,0
Total Felonies per 1000 population,8.228463654,7.696609198,7.404258126,8.03014458,7.830569151,7.43178543,7.528490766,7.185353376,6.504847726,6.81328231,6.04005461,5.58198497,5.053600979,5.849687593,5.462467395,5.004397755
Violent Offenses per 1000 population,2.616374914,2.518740134,2.464945484,2.677500858,2.472562249,2.314507566,2.196405039,2.112493892,2.190689629,2.361666549,2.095058907,2.016534482,1.922690922,1.961838377,1.898699861,1.820175435
Property Offenses per 1000 population,1.734796014,1.720057666,1.750075962,1.809759497,1.64088222,1.593964504,1.519031344,1.584370419,1.422447787,1.337040819,1.118162153,0.9616522228,0.7841498672,1.077518145,0.9421904591,0.7856805288
Drug Offenses per 1000 population,1.052931368,0.8848033259,0.8397067033,0.8630253755,0.8529748236,0.8639406121,0.8952285035,0.6514720394,0.6121927183,1.068914459,0.9039820115,0.9485110983,0.9989801913,0.7975317286,0.836031415,0.8805605019
Sex Offenses per 1000 population,0.107538445,0.1120750879,0.09068361312,0.09431971317,0.09819266347,0.09717850506,0.1107130995,0.1221510074,0.06362002758,0.06583459716,0.06342830287,0.05615454858,0.04880404366,0.05877434206,0.05158271744,0.04430896315
Other Offenses per 1000 population,2.716822913,2.460932984,2.258846363,2.585539137,2.765957195,2.562194243,2.807112781,2.714866017,2.215897565,1.979825885,1.948770038,1.757133179,1.542817862,1.98987983,1.82116146,1.629524601
Misdemeanors per 1000 population,29.01647229,29.0593007,29.42977673,31.37545259,31.70085073,26.82482271,24.48783287,21.88059859,20.7017169,19.17462567,16.27276317,14.09762529,11.77579881,13.22743869,11.20036968,9.025231804
Status Offenses per 1000 population,0.8461266661,0.9131170323,1.029317894,0.7427677412,0.650674276,0.2216143957,0.1488079294,0.2562776037,0.1452457234,0.05984963378,0,0,0,0,0,0
