Yolo County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,992","1,802","1,535","1,586","1,619","1,446","1,331","1,231","1,195","1,379",1179.605054,1128.802639,1067.611268,915.5287719,875.100718,824.2983035
Violent Offenses,575,558,499,575,553,524,480,345,372,436,402.7270797,402.0263929,403.1827487,315.4205835,312.8313834,312.1306966
Property Offenses,450,387,356,351,379,358,335,232,237,280,252.3815193,252.3077247,254.7230646,174.6007438,172.0068067,171.933012
Drug Offenses,326,208,125,120,137,160,92,59,74,90,79.33098331,80.06365858,79.79566724,0,0,0
Sex Offenses,34,30,22,22,29,17,21,12,12,25,17.86664576,18.21246662,18.58119282,10.72286585,11.0431579,11.38897876
Other Offenses,607,619,533,518,521,387,403,583,500,548,481.8696385,469.7597902,453.5321154,449.9326651,441.9512817,429.8414334
Misdemeanor,"5,132","5,200","5,034","4,602","4,555","2,906","2,374","2,632","2,691","3,353",2109.565492,1876.208829,1630.491163,1003.951004,782.8529657,549.4963026
Status Offenses,24,39,18,6,1,0,0,0,1,2,0,0,0,0,0,0
Total Felonies per 1000 population,9.481109176,8.447759375,7.111387022,7.305321922,7.471916854,6.640094045,6.232878316,5.511825126,5.360691552,6.122059392,5.170096292,4.918685212,4.628167003,3.798497625,3.586070155,3.334659075
Violent Offenses per 1000 population,2.736765952,2.615898852,2.311779885,2.648524657,2.552174194,2.406230484,2.247769791,1.544743841,1.668767579,1.935618488,1.759221876,1.742325753,1.735120112,1.317600301,1.290865986,1.273969863
Property Offenses per 1000 population,2.141816832,1.81425243,1.64928585,1.616751573,1.749139276,1.643951361,1.568756,1.038784264,1.063166442,1.243057744,1.091727659,1.077112695,1.073398373,0.7084202943,0.6827685125,0.6681535488
Drug Offenses per 1000 population,1.551627305,0.975102081,0.5791031777,0.5527355805,0.6322746195,0.7347268653,0.4308225433,0.2641735844,0.3319591421,0.399554275,0.3440809651,0.345604238,0.3430560908,0,0,0
Sex Offenses per 1000 population,0.1618261606,0.1406397232,0.1019221593,0.1013348564,0.133839153,0.07806472944,0.09833992835,0.05373022056,0.05383121223,0.1109872986,0.07722210223,0.0779020977,0.07868456805,0.04232346146,0.04288911428,0.04356910975
Other Offenses per 1000 population,2.889072926,2.901866289,2.46929595,2.385975256,2.404489611,1.777120605,1.887190054,2.610393216,2.242967176,2.432841586,2.089041998,2.008428786,1.907518814,1.896633849,1.836378308,1.755765096
Misdemeanors per 1000 population,24.42623107,24.37755202,23.32164317,21.19740951,21.02197731,13.34447669,11.11709476,11.78482838,12.07164934,14.88561649,8.970160443,7.759483482,6.487253838,3.551010053,2.401447357,1.190770395
Status Offenses per 1000 population,0.114230231,0.1828316402,0.08339085758,0.02763677903,0.004615143208,0,0,0,0.004485934353,0.008878983889,0,0,0,0,0,0
